dateAndTime;boostedSvrPrediction
2015-03-07 00:04:50;417.905057
2015-03-07 00:04:50;417.905057
2015-03-07 00:05:42;419.542460
2015-03-07 00:06:22;421.455757
2015-03-07 00:07:56;440.906923
2015-03-07 00:08:38;445.448008
2015-03-07 00:10:42;425.114861
2015-03-07 00:10:52;425.114861
2015-03-07 00:12:55;412.113620
2015-03-07 00:16:01;413.768399
2015-03-07 00:16:19;414.026625
2015-03-07 00:16:36;414.873122
2015-03-07 00:16:39;415.179222
2015-03-07 00:17:02;415.827308
2015-03-07 00:17:26;416.889109
2015-03-07 00:17:49;416.786695
2015-03-07 00:17:51;416.786695
2015-03-07 00:18:13;417.809376
2015-03-07 00:22:45;422.330663
2015-03-07 00:24:01;413.647214
2015-03-07 00:24:31;413.878820
2015-03-07 00:24:59;413.647214
2015-03-07 00:27:46;414.122024
2015-03-07 00:29:43;414.410353
2015-03-07 00:29:58;416.879808
2015-03-07 00:30:04;416.879808
2015-03-07 00:33:12;416.510910
2015-03-07 00:34:01;414.349915
2015-03-07 00:38:27;409.770196
2015-03-07 00:38:56;411.344720
2015-03-07 00:40:18;416.418389
2015-03-07 00:46:10;412.475519
2015-03-07 00:47:31;412.895790
2015-03-07 00:47:34;413.123886
2015-03-07 00:50:00;415.857299
2015-03-07 00:54:53;435.563265
2015-03-07 00:55:56;440.800761
2015-03-07 00:57:51;413.668017
2015-03-07 00:58:33;413.668017
2015-03-07 01:05:04;461.383197
2015-03-07 01:05:58;426.570028
2015-03-07 01:06:00;426.570028
2015-03-07 01:10:02;434.339496
2015-03-07 01:13:50;432.972216
2015-03-07 01:15:27;427.775046
2015-03-07 01:15:47;428.215289
2015-03-07 01:25:55;447.663982
2015-03-07 01:27:44;449.147297
2015-03-07 01:28:34;415.594720
2015-03-07 01:33:21;413.524904
2015-03-07 01:33:45;413.524904
2015-03-07 01:34:18;413.737586
2015-03-07 01:36:56;414.699036
2015-03-07 01:37:39;415.223918
2015-03-07 01:43:54;413.596423
2015-03-07 01:51:01;415.105499
2015-03-07 01:55:09;415.344119
2015-03-07 01:56:01;415.594720
2015-03-07 01:57:41;418.354102
2015-03-07 02:03:24;410.604805
2015-03-07 02:05:39;413.396761
2015-03-07 02:05:50;413.998324
2015-03-07 02:08:05;415.344119
2015-03-07 02:08:37;415.569208
2015-03-07 02:09:29;416.089629
2015-03-07 02:13:42;498.988793
2015-03-07 02:13:47;500.393134
2015-03-07 02:13:49;501.809449
2015-03-07 02:22:45;417.927408
2015-03-07 02:24:14;417.618154
2015-03-07 02:27:59;462.645672
2015-03-07 02:38:48;617.231513
2015-03-07 02:54:44;414.461517
2015-03-07 03:11:06;414.461517
2015-03-07 03:11:26;414.664198
2015-03-07 03:11:46;414.878858
2015-03-07 03:11:51;415.105499
2015-03-07 03:11:55;415.344119
2015-03-07 03:12:10;415.594720
2015-03-07 03:13:52;416.131856
2015-03-07 03:32:08;414.664198
2015-03-07 03:33:11;415.105499
2015-03-07 03:37:06;413.012794
2015-03-07 03:44:38;415.992727
2015-03-07 04:01:50;414.461517
2015-03-07 04:02:46;414.664198
2015-03-07 04:07:17;412.163872
2015-03-07 04:07:38;412.163872
2015-03-07 04:08:27;412.163872
2015-03-07 04:10:34;412.163872
2015-03-07 04:12:02;410.996155
2015-03-07 04:12:22;415.105499
2015-03-07 04:15:16;417.181301
2015-03-07 04:20:05;414.557167
2015-03-07 04:22:55;473.878370
2015-03-07 04:25:34;435.542516
2015-03-07 04:37:05;414.461517
2015-03-07 04:40:43;557.596276
2015-03-07 04:41:37;559.713455
2015-03-07 04:46:22;412.498978
2015-03-07 04:46:29;412.676854
2015-03-07 04:46:34;412.866703
2015-03-07 04:46:42;412.866703
2015-03-07 04:49:54;412.716235
2015-03-07 04:58:41;415.622672
2015-03-07 04:59:10;415.845253
2015-03-07 04:59:40;416.079818
2015-03-07 05:02:41;415.105499
2015-03-07 05:04:16;410.853758
2015-03-07 05:14:54;414.664198
2015-03-07 05:15:28;414.664198
2015-03-07 05:27:00;414.461517
2015-03-07 05:29:19;466.969447
2015-03-07 05:30:42;467.978988
2015-03-07 05:38:29;412.836906
2015-03-07 05:44:12;407.435027
2015-03-07 05:45:21;407.514758
2015-03-07 05:49:16;412.282255
2015-03-07 05:49:43;411.211994
2015-03-07 05:57:30;417.965370
2015-03-07 05:57:42;418.227762
2015-03-07 06:00:35;415.105499
2015-03-07 06:02:07;410.779588
2015-03-07 06:04:23;413.946486
2015-03-07 06:14:19;415.594720
2015-03-07 06:18:30;601.725057
2015-03-07 06:19:49;497.530838
2015-03-07 06:20:34;417.264557
2015-03-07 06:20:37;417.545933
2015-03-07 06:30:39;416.408534
2015-03-07 06:34:04;468.939431
2015-03-07 06:34:23;469.976084
2015-03-07 06:37:22;437.992001
2015-03-07 06:38:31;408.696609
2015-03-07 06:39:07;410.396810
2015-03-07 06:45:40;415.912178
2015-03-07 06:49:15;416.716898
2015-03-07 06:49:24;416.418389
2015-03-07 06:53:56;411.404364
2015-03-07 07:00:48;419.723489
2015-03-07 07:02:41;420.348054
2015-03-07 07:03:39;420.678321
2015-03-07 07:07:58;413.561531
2015-03-07 07:16:03;414.221877
2015-03-07 07:17:42;414.446020
2015-03-07 07:17:54;415.594720
2015-03-07 07:18:23;415.594720
2015-03-07 07:20:28;411.205073
2015-03-07 07:20:35;411.423933
2015-03-07 07:20:52;411.654762
2015-03-07 07:20:57;411.897559
2015-03-07 07:21:44;411.654762
2015-03-07 07:23:05;412.139233
2015-03-07 07:23:49;412.891299
2015-03-07 07:24:00;413.136099
2015-03-07 07:24:25;412.891299
2015-03-07 07:25:53;414.037951
2015-03-07 07:28:27;414.804652
2015-03-07 07:28:36;415.070753
2015-03-07 07:29:40;415.000584
2015-03-07 07:30:56;415.432542
2015-03-07 07:31:30;416.789832
2015-03-07 07:31:31;417.101400
2015-03-07 07:31:57;417.506327
2015-03-07 07:32:07;417.843011
2015-03-07 07:33:05;417.075433
2015-03-07 07:39:37;412.285089
2015-03-07 07:41:24;471.079927
2015-03-07 07:42:19;543.503205
2015-03-07 07:42:26;545.408018
2015-03-07 07:42:54;514.778221
2015-03-07 07:44:17;511.680364
2015-03-07 07:46:01;445.759732
2015-03-07 07:48:53;424.348831
2015-03-07 07:49:20;428.019334
2015-03-07 07:51:00;415.474078
2015-03-07 07:52:50;420.696744
2015-03-07 07:55:26;435.808250
2015-03-07 07:58:51;432.875538
2015-03-07 07:59:55;452.893049
2015-03-07 08:00:18;418.352772
2015-03-07 08:00:22;418.715646
2015-03-07 08:01:32;419.876006
2015-03-07 08:03:08;420.286692
2015-03-07 08:03:32;417.786276
2015-03-07 08:04:39;415.211987
2015-03-07 08:07:09;411.224907
2015-03-07 08:07:51;411.622317
2015-03-07 08:10:08;411.847210
2015-03-07 08:11:20;412.794122
2015-03-07 08:13:50;413.856283
2015-03-07 08:13:58;414.123916
2015-03-07 08:15:19;465.833482
2015-03-07 08:16:32;444.571449
2015-03-07 08:17:41;473.356782
2015-03-07 08:18:49;471.228867
2015-03-07 08:19:02;459.481554
2015-03-07 08:19:05;460.384812
2015-03-07 08:19:07;461.300065
2015-03-07 08:19:16;462.227303
2015-03-07 08:22:10;433.943486
2015-03-07 08:23:42;418.202398
2015-03-07 08:23:45;418.935880
2015-03-07 08:23:47;419.320556
2015-03-07 08:23:49;419.717183
2015-03-07 08:23:58;419.666364
2015-03-07 08:24:06;418.854076
2015-03-07 08:24:09;418.854076
2015-03-07 08:24:47;417.829813
2015-03-07 08:24:50;418.192359
2015-03-07 08:25:18;419.351716
2015-03-07 08:25:20;419.762061
2015-03-07 08:26:16;419.291069
2015-03-07 08:27:50;418.932475
2015-03-07 08:28:50;417.196542
2015-03-07 08:29:10;416.497021
2015-03-07 08:29:39;416.677489
2015-03-07 08:29:42;417.052516
2015-03-07 08:30:16;415.870288
2015-03-07 08:30:27;415.532380
2015-03-07 08:30:56;416.220150
2015-03-07 08:31:15;415.532380
2015-03-07 08:31:39;415.532380
2015-03-07 08:32:42;416.262992
2015-03-07 08:32:51;417.524281
2015-03-07 08:34:22;416.758857
2015-03-07 08:34:31;417.092023
2015-03-07 08:34:45;416.986756
2015-03-07 08:36:05;428.509675
2015-03-07 08:36:11;429.002508
2015-03-07 08:37:02;424.980748
2015-03-07 08:37:06;425.429926
2015-03-07 08:37:56;423.759013
2015-03-07 08:39:03;429.566133
2015-03-07 08:39:15;431.139590
2015-03-07 08:39:40;429.226931
2015-03-07 08:40:15;431.095950
2015-03-07 08:40:37;432.697992
2015-03-07 08:40:45;417.047907
2015-03-07 08:40:51;417.833664
2015-03-07 08:40:54;418.244445
2015-03-07 08:41:08;418.244445
2015-03-07 08:41:33;419.289628
2015-03-07 08:42:00;427.660532
2015-03-07 08:42:01;430.265938
2015-03-07 08:42:43;428.197807
2015-03-07 08:43:01;429.302371
2015-03-07 08:43:42;429.609048
2015-03-07 08:44:27;432.622364
2015-03-07 08:46:04;423.564698
2015-03-07 08:46:04;423.564698
2015-03-07 08:47:12;426.307828
2015-03-07 08:47:41;427.080885
2015-03-07 08:47:42;427.602644
2015-03-07 08:48:22;427.564998
2015-03-07 08:48:32;428.315055
2015-03-07 08:49:18;426.774829
2015-03-07 08:49:48;427.356778
2015-03-07 08:51:09;434.858145
2015-03-07 08:51:51;426.462586
2015-03-07 08:51:54;426.965520
2015-03-07 08:52:04;427.480381
2015-03-07 08:54:02;429.906816
2015-03-07 08:54:28;431.023001
2015-03-07 08:55:01;432.768069
2015-03-07 08:55:10;434.609858
2015-03-07 08:55:20;436.558473
2015-03-07 08:55:28;437.916773
2015-03-07 08:56:07;435.215536
2015-03-07 08:57:27;433.591466
2015-03-07 08:57:29;434.208048
2015-03-07 08:57:31;434.836508
2015-03-07 08:57:39;435.476837
2015-03-07 08:58:18;438.422003
2015-03-07 08:58:24;439.830467
2015-03-07 08:59:19;429.063683
2015-03-07 09:00:33;427.669534
2015-03-07 09:00:48;428.200496
2015-03-07 09:01:34;428.547189
2015-03-07 09:02:37;427.240856
2015-03-07 09:04:10;422.272117
2015-03-07 09:04:50;431.279581
2015-03-07 09:05:40;428.560549
2015-03-07 09:06:20;430.023183
2015-03-07 09:07:31;432.168977
2015-03-07 09:08:14;436.075416
2015-03-07 09:09:06;439.212225
2015-03-07 09:09:15;436.656685
2015-03-07 09:09:19;421.092527
2015-03-07 09:09:59;421.058253
2015-03-07 09:10:03;421.484628
2015-03-07 09:10:36;423.576703
2015-03-07 09:10:38;424.066041
2015-03-07 09:10:41;422.093004
2015-03-07 09:11:29;431.777751
2015-03-07 09:11:49;433.465455
2015-03-07 09:12:05;434.071378
2015-03-07 09:14:04;442.041131
2015-03-07 09:14:08;442.764928
2015-03-07 09:14:50;447.536244
2015-03-07 09:14:58;448.335003
2015-03-07 09:16:13;437.491613
2015-03-07 09:16:19;431.917722
2015-03-07 09:17:12;431.375945
2015-03-07 09:17:23;433.210775
2015-03-07 09:17:56;432.587300
2015-03-07 09:18:54;421.293552
2015-03-07 09:18:56;422.252197
2015-03-07 09:18:57;422.749371
2015-03-07 09:18:59;423.258437
2015-03-07 09:19:42;420.725941
2015-03-07 09:19:45;421.192380
2015-03-07 09:20:10;420.725941
2015-03-07 09:20:54;419.561617
2015-03-07 09:21:05;419.666999
2015-03-07 09:21:17;421.456726
2015-03-07 09:22:30;419.150904
2015-03-07 09:22:34;420.057123
2015-03-07 09:22:38;420.528093
2015-03-07 09:23:07;423.061287
2015-03-07 09:23:09;423.603543
2015-03-07 09:23:12;424.157652
2015-03-07 09:23:36;425.891014
2015-03-07 09:23:43;426.492450
2015-03-07 09:24:01;425.141823
2015-03-07 09:24:06;425.910229
2015-03-07 09:24:46;426.603253
2015-03-07 09:25:03;427.212190
2015-03-07 09:25:42;428.465467
2015-03-07 09:25:52;429.858641
2015-03-07 09:25:56;429.858641
2015-03-07 09:26:15;427.458438
2015-03-07 09:26:25;427.996395
2015-03-07 09:26:49;429.230643
2015-03-07 09:27:16;432.569063
2015-03-07 09:27:27;432.740344
2015-03-07 09:27:29;433.423193
2015-03-07 09:27:31;434.117803
2015-03-07 09:27:33;434.117803
2015-03-07 09:27:37;434.117803
2015-03-07 09:27:43;434.824161
2015-03-07 09:27:49;435.542256
2015-03-07 09:27:53;435.542256
2015-03-07 09:29:50;429.307293
2015-03-07 09:29:57;430.562663
2015-03-07 09:30:08;431.208059
2015-03-07 09:30:52;430.222056
2015-03-07 09:31:03;431.921471
2015-03-07 09:31:24;431.703409
2015-03-07 09:31:38;434.191535
2015-03-07 09:31:55;433.510376
2015-03-07 09:31:57;434.191535
2015-03-07 09:33:09;428.466045
2015-03-07 09:33:18;429.568067
2015-03-07 09:34:10;436.897667
2015-03-07 09:34:52;436.064096
2015-03-07 09:35:42;442.424174
2015-03-07 09:35:43;443.208971
2015-03-07 09:36:22;442.658851
2015-03-07 09:36:29;441.368398
2015-03-07 09:37:08;436.060708
2015-03-07 09:37:10;436.745927
2015-03-07 09:37:18;437.733160
2015-03-07 09:37:19;438.445050
2015-03-07 09:37:22;439.168717
2015-03-07 09:37:39;442.621893
2015-03-07 09:37:50;442.882155
2015-03-07 09:37:58;443.441576
2015-03-07 09:38:05;445.806633
2015-03-07 09:38:28;456.140289
2015-03-07 09:38:33;457.059876
2015-03-07 09:38:50;453.473127
2015-03-07 09:38:57;452.588151
2015-03-07 09:39:22;451.714841
2015-03-07 09:39:57;446.851274
2015-03-07 09:40:01;446.851274
2015-03-07 09:40:12;449.868951
2015-03-07 09:40:18;452.935731
2015-03-07 09:40:32;452.935731
2015-03-07 09:40:49;446.654230
2015-03-07 09:40:51;446.654230
2015-03-07 09:41:07;452.119861
2015-03-07 09:41:40;453.033517
2015-03-07 09:42:00;455.802300
2015-03-07 09:42:48;448.429798
2015-03-07 09:42:49;449.295084
2015-03-07 09:42:51;449.295084
2015-03-07 09:42:53;449.168197
2015-03-07 09:43:11;447.858537
2015-03-07 09:43:45;437.186069
2015-03-07 09:44:25;436.652822
2015-03-07 09:45:10;435.193227
2015-03-07 09:45:15;434.616085
2015-03-07 09:45:25;433.902338
2015-03-07 09:46:16;431.517816
2015-03-07 09:46:40;434.249960
2015-03-07 09:47:06;433.455567
2015-03-07 09:47:59;429.513682
2015-03-07 09:48:11;428.222460
2015-03-07 09:48:42;429.307999
2015-03-07 09:48:54;426.634826
2015-03-07 09:49:22;425.506494
2015-03-07 09:49:26;425.490549
2015-03-07 09:49:30;424.999535
2015-03-07 09:49:46;426.105047
2015-03-07 09:49:49;426.105047
2015-03-07 09:49:54;426.675593
2015-03-07 09:50:00;426.651132
2015-03-07 09:50:01;427.233255
2015-03-07 09:50:23;428.262581
2015-03-07 09:50:40;428.365107
2015-03-07 09:50:41;428.987275
2015-03-07 09:50:45;430.267011
2015-03-07 09:50:51;430.924559
2015-03-07 09:50:53;431.725720
2015-03-07 09:50:56;432.408125
2015-03-07 09:50:58;432.408125
2015-03-07 09:50:59;433.102278
2015-03-07 09:51:13;434.375352
2015-03-07 09:51:15;435.103232
2015-03-07 09:51:18;435.103232
2015-03-07 09:51:26;436.594082
2015-03-07 09:51:48;444.469089
2015-03-07 09:51:49;445.305164
2015-03-07 09:51:49;445.305164
2015-03-07 09:52:14;447.482131
2015-03-07 09:52:31;450.447375
2015-03-07 09:52:42;449.553756
2015-03-07 09:52:48;453.038328
2015-03-07 09:53:01;452.804613
2015-03-07 09:53:02;453.727203
2015-03-07 09:53:04;454.661327
2015-03-07 09:53:53;453.715531
2015-03-07 09:54:00;450.435460
2015-03-07 09:54:12;451.589026
2015-03-07 09:54:20;460.765564
2015-03-07 09:54:23;460.765564
2015-03-07 09:54:46;469.019219
2015-03-07 09:55:02;462.734425
2015-03-07 09:55:07;463.767152
2015-03-07 09:55:40;465.796377
2015-03-07 09:55:41;465.796377
2015-03-07 09:55:48;462.882026
2015-03-07 09:55:51;462.586826
2015-03-07 09:55:55;461.560740
2015-03-07 09:56:00;460.062189
2015-03-07 09:56:02;461.751687
2015-03-07 09:56:07;462.779333
2015-03-07 09:56:09;463.365821
2015-03-07 09:56:49;451.114292
2015-03-07 09:56:58;448.932726
2015-03-07 09:57:02;448.932726
2015-03-07 09:57:09;450.742655
2015-03-07 09:57:19;451.664891
2015-03-07 09:57:20;452.598620
2015-03-07 09:57:25;453.256204
2015-03-07 09:57:37;454.936010
2015-03-07 09:57:41;455.911181
2015-03-07 09:57:42;456.897759
2015-03-07 09:57:45;456.681866
2015-03-07 09:57:47;457.678099
2015-03-07 09:57:49;457.678099
2015-03-07 09:58:01;461.275737
2015-03-07 09:58:10;460.052666
