Strekningsnavn;Intervallstart;Reell reisetid (sek);Normalreisetid (sek);Forsinkelse (sek);Antall biler;Lengde (m);Stipulert;Hastighet (km/t)
Klett - Studentersamfunnet;01.01.2014 00:00;659;840;0;3;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 00:05;575;840;0;1;12322;;77.15
Klett - Studentersamfunnet;01.01.2014 00:10;674;840;0;2;12322;;65.81
Klett - Studentersamfunnet;01.01.2014 00:15;630;840;0;0;12322;;70.41
Klett - Studentersamfunnet;01.01.2014 00:20;715;840;0;1;12322;;62.04
Klett - Studentersamfunnet;01.01.2014 00:25;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;01.01.2014 00:30;647;840;0;2;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 00:35;607;840;0;3;12322;;73.08
Klett - Studentersamfunnet;01.01.2014 00:40;616;840;0;4;12322;;72.01
Klett - Studentersamfunnet;01.01.2014 00:45;639;840;0;5;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 00:50;636;840;0;5;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 00:55;643;840;0;8;12322;;68.99
Klett - Studentersamfunnet;01.01.2014 01:00;639;840;0;5;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 01:05;655;840;0;4;12322;;67.72
Klett - Studentersamfunnet;01.01.2014 01:10;651;840;0;3;12322;;68.14
Klett - Studentersamfunnet;01.01.2014 01:15;619;840;0;6;12322;;71.66
Klett - Studentersamfunnet;01.01.2014 01:20;623;840;0;4;12322;;71.20
Klett - Studentersamfunnet;01.01.2014 01:25;645;840;0;2;12322;;68.77
Klett - Studentersamfunnet;01.01.2014 01:30;641;840;0;4;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 01:35;650;840;0;4;12322;;68.24
Klett - Studentersamfunnet;01.01.2014 01:40;651;840;0;4;12322;;68.14
Klett - Studentersamfunnet;01.01.2014 01:45;659;840;0;6;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 01:50;624;840;0;3;12322;;71.09
Klett - Studentersamfunnet;01.01.2014 01:55;635;840;0;6;12322;;69.86
Klett - Studentersamfunnet;01.01.2014 02:00;633;840;0;5;12322;;70.08
Klett - Studentersamfunnet;01.01.2014 02:05;684;840;0;4;12322;;64.85
Klett - Studentersamfunnet;01.01.2014 02:10;643;840;0;6;12322;;68.99
Klett - Studentersamfunnet;01.01.2014 02:15;664;840;0;4;12322;;66.81
Klett - Studentersamfunnet;01.01.2014 02:20;644;840;0;4;12322;;68.88
Klett - Studentersamfunnet;01.01.2014 02:25;636;840;0;4;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 02:30;623;840;0;2;12322;;71.20
Klett - Studentersamfunnet;01.01.2014 02:35;683;840;0;5;12322;;64.95
Klett - Studentersamfunnet;01.01.2014 02:40;633;840;0;2;12322;;70.08
Klett - Studentersamfunnet;01.01.2014 02:45;654;840;0;3;12322;;67.83
Klett - Studentersamfunnet;01.01.2014 02:50;642;840;0;4;12322;;69.10
Klett - Studentersamfunnet;01.01.2014 02:55;663;840;0;1;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 03:00;649;840;0;1;12322;;68.35
Klett - Studentersamfunnet;01.01.2014 03:05;636;840;0;2;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 03:10;647;840;0;3;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 03:15;590;840;0;3;12322;;75.19
Klett - Studentersamfunnet;01.01.2014 03:20;613;840;0;2;12322;;72.36
Klett - Studentersamfunnet;01.01.2014 03:25;647;840;0;2;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 03:30;579;840;0;3;12322;;76.61
Klett - Studentersamfunnet;01.01.2014 03:35;618;840;0;5;12322;;71.78
Klett - Studentersamfunnet;01.01.2014 03:40;606;840;0;2;12322;;73.20
Klett - Studentersamfunnet;01.01.2014 03:45;570;840;0;0;12322;;77.82
Klett - Studentersamfunnet;01.01.2014 03:50;641;840;0;1;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 03:55;781;840;0;1;12322;;56.80
Klett - Studentersamfunnet;01.01.2014 04:00;653;840;0;3;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 04:05;649;840;0;1;12322;;68.35
Klett - Studentersamfunnet;01.01.2014 04:10;679;840;0;1;12322;;65.33
Klett - Studentersamfunnet;01.01.2014 04:15;670;840;0;0;12322;;66.21
Klett - Studentersamfunnet;01.01.2014 04:20;560;840;0;1;12322;;79.21
Klett - Studentersamfunnet;01.01.2014 04:25;718;840;0;0;12322;;61.78
Klett - Studentersamfunnet;01.01.2014 04:30;645;840;0;2;12322;;68.77
Klett - Studentersamfunnet;01.01.2014 04:35;728;840;0;1;12322;;60.93
Klett - Studentersamfunnet;01.01.2014 04:40;767;840;0;0;12322;;57.83
Klett - Studentersamfunnet;01.01.2014 04:45;612;840;0;2;12322;;72.48
Klett - Studentersamfunnet;01.01.2014 04:50;749;840;0;1;12322;;59.22
Klett - Studentersamfunnet;01.01.2014 04:55;568;840;0;1;12322;;78.10
Klett - Studentersamfunnet;01.01.2014 05:00;608;840;0;2;12322;;72.96
Klett - Studentersamfunnet;01.01.2014 05:05;631;840;0;4;12322;;70.30
Klett - Studentersamfunnet;01.01.2014 05:10;600;840;0;2;12322;;73.93
Klett - Studentersamfunnet;01.01.2014 05:15;570;840;0;0;12322;;77.82
Klett - Studentersamfunnet;01.01.2014 05:20;710;840;0;0;12322;;62.48
Klett - Studentersamfunnet;01.01.2014 05:25;726;840;0;1;12322;;61.10
Klett - Studentersamfunnet;01.01.2014 05:30;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;01.01.2014 05:35;737;840;0;0;12322;;60.19
Klett - Studentersamfunnet;01.01.2014 05:40;577;840;0;1;12322;;76.88
Klett - Studentersamfunnet;01.01.2014 05:45;694;840;0;0;12322;;63.92
Klett - Studentersamfunnet;01.01.2014 05:50;615;840;0;2;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 05:55;760;840;0;0;12322;;58.37
Klett - Studentersamfunnet;01.01.2014 06:00;668;840;0;1;12322;;66.41
Klett - Studentersamfunnet;01.01.2014 06:05;634;840;0;3;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 06:10;781;840;0;1;12322;;56.80
Klett - Studentersamfunnet;01.01.2014 06:15;560;840;0;2;12322;;79.21
Klett - Studentersamfunnet;01.01.2014 06:20;647;840;0;1;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 06:25;616;840;0;3;12322;;72.01
Klett - Studentersamfunnet;01.01.2014 06:30;636;840;0;5;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 06:35;659;840;0;5;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 06:40;677;840;0;3;12322;;65.52
Klett - Studentersamfunnet;01.01.2014 06:45;659;840;0;4;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 06:50;633;840;0;2;12322;;70.08
Klett - Studentersamfunnet;01.01.2014 06:55;679;840;0;4;12322;;65.33
Klett - Studentersamfunnet;01.01.2014 07:00;642;840;0;5;12322;;69.10
Klett - Studentersamfunnet;01.01.2014 07:05;680;840;0;7;12322;;65.23
Klett - Studentersamfunnet;01.01.2014 07:10;634;840;0;7;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 07:15;747;840;0;3;12322;;59.38
Klett - Studentersamfunnet;01.01.2014 07:20;656;840;0;4;12322;;67.62
Klett - Studentersamfunnet;01.01.2014 07:25;613;840;0;1;12322;;72.36
Klett - Studentersamfunnet;01.01.2014 07:30;645;840;0;3;12322;;68.77
Klett - Studentersamfunnet;01.01.2014 07:35;736;840;0;2;12322;;60.27
Klett - Studentersamfunnet;01.01.2014 07:40;675;840;0;5;12322;;65.72
Klett - Studentersamfunnet;01.01.2014 07:45;663;840;0;2;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 07:50;634;840;0;3;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 07:55;739;840;0;2;12322;;60.03
Klett - Studentersamfunnet;01.01.2014 08:00;676;840;0;2;12322;;65.62
Klett - Studentersamfunnet;01.01.2014 08:05;644;840;0;2;12322;;68.88
Klett - Studentersamfunnet;01.01.2014 08:10;766;840;0;0;12322;;57.91
Klett - Studentersamfunnet;01.01.2014 08:15;748;840;0;0;12322;;59.30
Klett - Studentersamfunnet;01.01.2014 08:20;984;840;144;1;12322;;45.08
Klett - Studentersamfunnet;01.01.2014 08:25;756;840;0;0;12322;;58.68
Klett - Studentersamfunnet;01.01.2014 08:30;683;840;0;2;12322;;64.95
Klett - Studentersamfunnet;01.01.2014 08:35;709;840;0;3;12322;;62.57
Klett - Studentersamfunnet;01.01.2014 08:40;540;840;0;2;12322;;82.15
Klett - Studentersamfunnet;01.01.2014 08:45;628;840;0;2;12322;;70.64
Klett - Studentersamfunnet;01.01.2014 08:50;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;01.01.2014 08:55;629;840;0;1;12322;ja;70.52
Klett - Studentersamfunnet;01.01.2014 09:00;771;840;0;0;12322;;57.53
Klett - Studentersamfunnet;01.01.2014 09:05;757;840;0;0;12322;;58.60
Klett - Studentersamfunnet;01.01.2014 09:10;638;840;0;2;12322;;69.53
Klett - Studentersamfunnet;01.01.2014 09:15;724;840;0;1;12322;;61.27
Klett - Studentersamfunnet;01.01.2014 09:20;616;840;0;1;12322;;72.01
Klett - Studentersamfunnet;01.01.2014 09:25;723;840;0;1;12322;;61.35
Klett - Studentersamfunnet;01.01.2014 09:30;640;840;0;3;12322;;69.31
Klett - Studentersamfunnet;01.01.2014 09:35;640;840;0;4;12322;;69.31
Klett - Studentersamfunnet;01.01.2014 09:40;615;840;0;1;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 09:45;658;840;0;1;12322;;67.42
Klett - Studentersamfunnet;01.01.2014 09:50;633;840;0;3;12322;;70.08
Klett - Studentersamfunnet;01.01.2014 09:55;702;840;0;2;12322;;63.19
Klett - Studentersamfunnet;01.01.2014 10:00;615;840;0;2;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 10:05;636;840;0;1;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 10:10;625;840;0;1;12322;;70.97
Klett - Studentersamfunnet;01.01.2014 10:15;619;840;0;3;12322;;71.66
Klett - Studentersamfunnet;01.01.2014 10:20;637;840;0;1;12322;;69.64
Klett - Studentersamfunnet;01.01.2014 10:25;639;840;0;1;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 10:30;656;840;0;2;12322;;67.62
Klett - Studentersamfunnet;01.01.2014 10:35;649;840;0;2;12322;;68.35
Klett - Studentersamfunnet;01.01.2014 10:40;633;840;0;2;12322;;70.08
Klett - Studentersamfunnet;01.01.2014 10:45;624;840;0;5;12322;;71.09
Klett - Studentersamfunnet;01.01.2014 10:50;619;840;0;5;12322;;71.66
Klett - Studentersamfunnet;01.01.2014 10:55;644;840;0;4;12322;;68.88
Klett - Studentersamfunnet;01.01.2014 11:00;639;840;0;5;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 11:05;691;840;0;2;12322;;64.20
Klett - Studentersamfunnet;01.01.2014 11:10;665;840;0;3;12322;;66.71
Klett - Studentersamfunnet;01.01.2014 11:15;661;840;0;4;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 11:20;614;840;0;4;12322;;72.25
Klett - Studentersamfunnet;01.01.2014 11:25;588;840;0;3;12322;;75.44
Klett - Studentersamfunnet;01.01.2014 11:30;573;840;0;3;12322;;77.42
Klett - Studentersamfunnet;01.01.2014 11:35;670;840;0;5;12322;;66.21
Klett - Studentersamfunnet;01.01.2014 11:40;682;840;0;3;12322;;65.04
Klett - Studentersamfunnet;01.01.2014 11:45;647;840;0;4;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 11:50;667;840;0;5;12322;;66.51
Klett - Studentersamfunnet;01.01.2014 11:55;661;840;0;5;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 12:00;648;840;0;5;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 12:05;641;840;0;9;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 12:10;653;840;0;7;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 12:15;708;840;0;8;12322;;62.65
Klett - Studentersamfunnet;01.01.2014 12:20;686;840;0;9;12322;;64.66
Klett - Studentersamfunnet;01.01.2014 12:25;634;840;0;11;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 12:30;658;840;0;7;12322;;67.42
Klett - Studentersamfunnet;01.01.2014 12:35;621;840;0;12;12322;;71.43
Klett - Studentersamfunnet;01.01.2014 12:40;641;840;0;12;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 12:45;622;840;0;8;12322;;71.32
Klett - Studentersamfunnet;01.01.2014 12:50;647;840;0;14;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 12:55;665;840;0;8;12322;;66.71
Klett - Studentersamfunnet;01.01.2014 13:00;663;840;0;12;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 13:05;646;840;0;10;12322;;68.67
Klett - Studentersamfunnet;01.01.2014 13:10;615;840;0;18;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 13:15;631;840;0;9;12322;;70.30
Klett - Studentersamfunnet;01.01.2014 13:20;647;840;0;13;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 13:25;623;840;0;12;12322;;71.20
Klett - Studentersamfunnet;01.01.2014 13:30;625;840;0;16;12322;;70.97
Klett - Studentersamfunnet;01.01.2014 13:35;635;840;0;10;12322;;69.86
Klett - Studentersamfunnet;01.01.2014 13:40;652;840;0;16;12322;;68.04
Klett - Studentersamfunnet;01.01.2014 13:45;640;840;0;16;12322;;69.31
Klett - Studentersamfunnet;01.01.2014 13:50;634;840;0;12;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 13:55;656;840;0;11;12322;;67.62
Klett - Studentersamfunnet;01.01.2014 14:00;657;840;0;17;12322;;67.52
Klett - Studentersamfunnet;01.01.2014 14:05;648;840;0;19;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 14:10;690;840;0;10;12322;;64.29
Klett - Studentersamfunnet;01.01.2014 14:15;667;840;0;23;12322;;66.51
Klett - Studentersamfunnet;01.01.2014 14:20;637;840;0;19;12322;;69.64
Klett - Studentersamfunnet;01.01.2014 14:25;629;840;0;17;12322;;70.52
Klett - Studentersamfunnet;01.01.2014 14:30;649;840;0;22;12322;;68.35
Klett - Studentersamfunnet;01.01.2014 14:35;697;840;0;19;12322;;63.64
Klett - Studentersamfunnet;01.01.2014 14:40;662;840;0;23;12322;;67.01
Klett - Studentersamfunnet;01.01.2014 14:45;656;840;0;28;12322;;67.62
Klett - Studentersamfunnet;01.01.2014 14:50;691;840;0;26;12322;;64.20
Klett - Studentersamfunnet;01.01.2014 14:55;700;840;0;21;12322;;63.37
Klett - Studentersamfunnet;01.01.2014 15:00;663;840;0;17;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 15:05;655;840;0;24;12322;;67.72
Klett - Studentersamfunnet;01.01.2014 15:10;647;840;0;14;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 15:15;661;840;0;26;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 15:20;668;840;0;24;12322;;66.41
Klett - Studentersamfunnet;01.01.2014 15:25;677;840;0;29;12322;;65.52
Klett - Studentersamfunnet;01.01.2014 15:30;692;840;0;23;12322;;64.10
Klett - Studentersamfunnet;01.01.2014 15:35;668;840;0;35;12322;;66.41
Klett - Studentersamfunnet;01.01.2014 15:40;675;840;0;18;12322;;65.72
Klett - Studentersamfunnet;01.01.2014 15:45;683;840;0;25;12322;;64.95
Klett - Studentersamfunnet;01.01.2014 15:50;706;840;0;24;12322;;62.83
Klett - Studentersamfunnet;01.01.2014 15:55;669;840;0;36;12322;;66.31
Klett - Studentersamfunnet;01.01.2014 16:00;650;840;0;21;12322;;68.24
Klett - Studentersamfunnet;01.01.2014 16:05;643;840;0;23;12322;;68.99
Klett - Studentersamfunnet;01.01.2014 16:10;665;840;0;11;12322;;66.71
Klett - Studentersamfunnet;01.01.2014 16:15;639;840;0;18;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 16:20;682;840;0;23;12322;;65.04
Klett - Studentersamfunnet;01.01.2014 16:25;685;840;0;20;12322;;64.76
Klett - Studentersamfunnet;01.01.2014 16:30;648;840;0;21;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 16:35;664;840;0;25;12322;;66.81
Klett - Studentersamfunnet;01.01.2014 16:40;672;840;0;17;12322;;66.01
Klett - Studentersamfunnet;01.01.2014 16:45;688;840;0;20;12322;;64.48
Klett - Studentersamfunnet;01.01.2014 16:50;663;840;0;19;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 16:55;660;840;0;26;12322;;67.21
Klett - Studentersamfunnet;01.01.2014 17:00;679;840;0;16;12322;;65.33
Klett - Studentersamfunnet;01.01.2014 17:05;660;840;0;30;12322;;67.21
Klett - Studentersamfunnet;01.01.2014 17:10;629;840;0;17;12322;;70.52
Klett - Studentersamfunnet;01.01.2014 17:15;668;840;0;28;12322;;66.41
Klett - Studentersamfunnet;01.01.2014 17:20;657;840;0;32;12322;;67.52
Klett - Studentersamfunnet;01.01.2014 17:25;677;840;0;33;12322;;65.52
Klett - Studentersamfunnet;01.01.2014 17:30;653;840;0;21;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 17:35;676;840;0;28;12322;;65.62
Klett - Studentersamfunnet;01.01.2014 17:40;655;840;0;26;12322;;67.72
Klett - Studentersamfunnet;01.01.2014 17:45;661;840;0;22;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 17:50;709;840;0;26;12322;;62.57
Klett - Studentersamfunnet;01.01.2014 17:55;661;840;0;19;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 18:00;674;840;0;25;12322;;65.81
Klett - Studentersamfunnet;01.01.2014 18:05;662;840;0;23;12322;;67.01
Klett - Studentersamfunnet;01.01.2014 18:10;653;840;0;16;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 18:15;642;840;0;19;12322;;69.10
Klett - Studentersamfunnet;01.01.2014 18:20;642;840;0;25;12322;;69.10
Klett - Studentersamfunnet;01.01.2014 18:25;658;840;0;21;12322;;67.42
Klett - Studentersamfunnet;01.01.2014 18:30;660;840;0;25;12322;;67.21
Klett - Studentersamfunnet;01.01.2014 18:35;663;840;0;22;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 18:40;634;840;0;19;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 18:45;647;840;0;15;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 18:50;666;840;0;24;12322;;66.61
Klett - Studentersamfunnet;01.01.2014 18:55;659;840;0;21;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 19:00;641;840;0;17;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 19:05;647;840;0;15;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 19:10;621;840;0;18;12322;;71.43
Klett - Studentersamfunnet;01.01.2014 19:15;628;840;0;21;12322;;70.64
Klett - Studentersamfunnet;01.01.2014 19:20;637;840;0;18;12322;;69.64
Klett - Studentersamfunnet;01.01.2014 19:25;666;840;0;22;12322;;66.61
Klett - Studentersamfunnet;01.01.2014 19:30;656;840;0;18;12322;;67.62
Klett - Studentersamfunnet;01.01.2014 19:35;667;840;0;17;12322;;66.51
Klett - Studentersamfunnet;01.01.2014 19:40;634;840;0;17;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 19:45;648;840;0;20;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 19:50;643;840;0;12;12322;;68.99
Klett - Studentersamfunnet;01.01.2014 19:55;663;840;0;17;12322;;66.91
Klett - Studentersamfunnet;01.01.2014 20:00;653;840;0;7;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 20:05;634;840;0;10;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 20:10;660;840;0;14;12322;;67.21
Klett - Studentersamfunnet;01.01.2014 20:15;659;840;0;17;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 20:20;666;840;0;17;12322;;66.61
Klett - Studentersamfunnet;01.01.2014 20:25;661;840;0;14;12322;;67.11
Klett - Studentersamfunnet;01.01.2014 20:30;648;840;0;10;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 20:35;648;840;0;15;12322;;68.46
Klett - Studentersamfunnet;01.01.2014 20:40;650;840;0;12;12322;;68.24
Klett - Studentersamfunnet;01.01.2014 20:45;688;840;0;16;12322;;64.48
Klett - Studentersamfunnet;01.01.2014 20:50;625;840;0;19;12322;;70.97
Klett - Studentersamfunnet;01.01.2014 20:55;642;840;0;10;12322;;69.10
Klett - Studentersamfunnet;01.01.2014 21:00;624;840;0;11;12322;;71.09
Klett - Studentersamfunnet;01.01.2014 21:05;659;840;0;11;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 21:10;636;840;0;12;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 21:15;649;840;0;10;12322;;68.35
Klett - Studentersamfunnet;01.01.2014 21:20;634;840;0;8;12322;;69.97
Klett - Studentersamfunnet;01.01.2014 21:25;644;840;0;16;12322;;68.88
Klett - Studentersamfunnet;01.01.2014 21:30;626;840;0;11;12322;;70.86
Klett - Studentersamfunnet;01.01.2014 21:35;640;840;0;6;12322;;69.31
Klett - Studentersamfunnet;01.01.2014 21:40;688;840;0;10;12322;;64.48
Klett - Studentersamfunnet;01.01.2014 21:45;612;840;0;10;12322;;72.48
Klett - Studentersamfunnet;01.01.2014 21:50;636;840;0;9;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 21:55;624;840;0;8;12322;;71.09
Klett - Studentersamfunnet;01.01.2014 22:00;670;840;0;11;12322;;66.21
Klett - Studentersamfunnet;01.01.2014 22:05;615;840;0;4;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 22:10;617;840;0;11;12322;;71.89
Klett - Studentersamfunnet;01.01.2014 22:15;629;840;0;7;12322;;70.52
Klett - Studentersamfunnet;01.01.2014 22:20;654;840;0;5;12322;;67.83
Klett - Studentersamfunnet;01.01.2014 22:25;671;840;0;6;12322;;66.11
Klett - Studentersamfunnet;01.01.2014 22:30;615;840;0;6;12322;;72.13
Klett - Studentersamfunnet;01.01.2014 22:35;650;840;0;5;12322;;68.24
Klett - Studentersamfunnet;01.01.2014 22:40;620;840;0;4;12322;;71.55
Klett - Studentersamfunnet;01.01.2014 22:45;613;840;0;7;12322;;72.36
Klett - Studentersamfunnet;01.01.2014 22:50;605;840;0;5;12322;;73.32
Klett - Studentersamfunnet;01.01.2014 22:55;603;840;0;3;12322;;73.56
Klett - Studentersamfunnet;01.01.2014 23:00;610;840;0;7;12322;;72.72
Klett - Studentersamfunnet;01.01.2014 23:05;653;840;0;3;12322;;67.93
Klett - Studentersamfunnet;01.01.2014 23:10;632;840;0;3;12322;;70.19
Klett - Studentersamfunnet;01.01.2014 23:15;557;840;0;2;12322;;79.64
Klett - Studentersamfunnet;01.01.2014 23:20;625;840;0;1;12322;;70.97
Klett - Studentersamfunnet;01.01.2014 23:25;622;840;0;1;12322;;71.32
Klett - Studentersamfunnet;01.01.2014 23:30;612;840;0;4;12322;;72.48
Klett - Studentersamfunnet;01.01.2014 23:35;725;840;0;4;12322;;61.19
Klett - Studentersamfunnet;01.01.2014 23:40;709;840;0;2;12322;;62.57
Klett - Studentersamfunnet;01.01.2014 23:45;708;840;0;2;12322;;62.65
Klett - Studentersamfunnet;01.01.2014 23:50;697;840;0;0;12322;;63.64
Klett - Studentersamfunnet;01.01.2014 23:55;719;840;0;1;12322;;61.70
Klett - Studentersamfunnet;02.01.2014 00:00;731;840;0;2;12322;;60.68
Klett - Studentersamfunnet;02.01.2014 00:05;706;840;0;2;12322;;62.83
Klett - Studentersamfunnet;02.01.2014 00:10;586;840;0;3;12322;;75.70
Klett - Studentersamfunnet;02.01.2014 00:15;552;840;0;2;12322;;80.36
Klett - Studentersamfunnet;02.01.2014 00:20;580;840;0;1;12322;;76.48
Klett - Studentersamfunnet;02.01.2014 00:25;604;840;0;2;12322;;73.44
Klett - Studentersamfunnet;02.01.2014 00:30;626;840;0;1;12322;;70.86
Klett - Studentersamfunnet;02.01.2014 00:35;561;840;0;2;12322;;79.07
Klett - Studentersamfunnet;02.01.2014 00:40;591;840;0;2;12322;;75.06
Klett - Studentersamfunnet;02.01.2014 00:45;499;840;0;0;12322;ja;88.90
Klett - Studentersamfunnet;02.01.2014 00:50;700;840;0;1;12322;;63.37
Klett - Studentersamfunnet;02.01.2014 00:55;700;840;0;0;12322;;63.37
Klett - Studentersamfunnet;02.01.2014 01:00;692;840;0;1;12322;;64.10
Klett - Studentersamfunnet;02.01.2014 01:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 01:10;732;840;0;0;12322;;60.60
Klett - Studentersamfunnet;02.01.2014 01:15;722;840;0;1;12322;;61.44
Klett - Studentersamfunnet;02.01.2014 01:20;705;840;0;0;12322;;62.92
Klett - Studentersamfunnet;02.01.2014 01:25;731;840;0;1;12322;;60.68
Klett - Studentersamfunnet;02.01.2014 01:30;661;840;0;0;12322;;67.11
Klett - Studentersamfunnet;02.01.2014 01:35;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 01:40;585;840;0;2;12322;;75.83
Klett - Studentersamfunnet;02.01.2014 01:45;733;840;0;0;12322;;60.52
Klett - Studentersamfunnet;02.01.2014 01:50;934;840;94;0;12322;;47.49
Klett - Studentersamfunnet;02.01.2014 01:55;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:00;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:10;746;840;0;0;12322;;59.46
Klett - Studentersamfunnet;02.01.2014 02:15;704;840;0;1;12322;;63.01
Klett - Studentersamfunnet;02.01.2014 02:20;747;840;0;0;12322;;59.38
Klett - Studentersamfunnet;02.01.2014 02:25;672;840;0;2;12322;;66.01
Klett - Studentersamfunnet;02.01.2014 02:30;670;840;0;0;12322;;66.21
Klett - Studentersamfunnet;02.01.2014 02:35;721;840;0;0;12322;;61.52
Klett - Studentersamfunnet;02.01.2014 02:40;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:45;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:50;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 02:55;697;840;0;1;12322;;63.64
Klett - Studentersamfunnet;02.01.2014 03:00;741;840;0;0;12322;;59.86
Klett - Studentersamfunnet;02.01.2014 03:05;566;840;0;1;12322;;78.37
Klett - Studentersamfunnet;02.01.2014 03:10;737;840;0;0;12322;;60.19
Klett - Studentersamfunnet;02.01.2014 03:15;725;840;0;1;12322;;61.19
Klett - Studentersamfunnet;02.01.2014 03:20;718;840;0;3;12322;;61.78
Klett - Studentersamfunnet;02.01.2014 03:25;583;840;0;0;12322;;76.09
Klett - Studentersamfunnet;02.01.2014 03:30;829;840;0;1;12322;;53.51
Klett - Studentersamfunnet;02.01.2014 03:35;742;840;0;0;12322;;59.78
Klett - Studentersamfunnet;02.01.2014 03:40;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 03:45;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 03:50;727;840;0;0;12322;;61.02
Klett - Studentersamfunnet;02.01.2014 03:55;727;840;0;0;12322;;61.02
Klett - Studentersamfunnet;02.01.2014 04:00;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 04:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;02.01.2014 04:10;706;840;0;0;12322;;62.83
