dateAndTime;boostedSvrPrediction
2015-03-27 00:02:00;307.036039
2015-03-27 00:02:05;300.563441
2015-03-27 00:02:36;298.222241
2015-03-27 00:04:48;287.183175
2015-03-27 00:06:46;325.235282
2015-03-27 00:07:33;306.520893
2015-03-27 00:09:39;295.212135
2015-03-27 00:11:52;292.699702
2015-03-27 00:12:00;291.041663
2015-03-27 00:12:07;287.331528
2015-03-27 00:12:21;287.501755
2015-03-27 00:12:55;288.406315
2015-03-27 00:13:36;289.543968
2015-03-27 00:14:02;299.398553
2015-03-27 00:14:08;300.035775
2015-03-27 00:14:12;300.695207
2015-03-27 00:14:17;301.236839
2015-03-27 00:14:23;301.543976
2015-03-27 00:16:56;295.953221
2015-03-27 00:23:19;297.126698
2015-03-27 00:24:36;298.331724
2015-03-27 00:25:45;318.038572
2015-03-27 00:29:28;289.643860
2015-03-27 00:36:41;305.778952
2015-03-27 00:38:03;305.778952
2015-03-27 00:42:35;313.281000
2015-03-27 00:43:25;313.281000
2015-03-27 00:47:17;289.591227
2015-03-27 00:48:59;312.005956
2015-03-27 00:50:15;308.554152
2015-03-27 00:51:31;323.457766
2015-03-27 01:05:44;338.941675
2015-03-27 01:16:34;301.682639
2015-03-27 01:17:19;294.730282
2015-03-27 01:19:06;294.730282
2015-03-27 01:37:05;301.682639
2015-03-27 01:38:13;338.646766
2015-03-27 01:39:24;338.491526
2015-03-27 01:39:44;338.289985
2015-03-27 01:51:07;294.730282
2015-03-27 01:52:16;289.591227
2015-03-27 01:54:04;289.591227
2015-03-27 01:56:52;338.194706
2015-03-27 01:56:55;338.241528
2015-03-27 01:58:01;338.241528
2015-03-27 01:59:12;298.895930
2015-03-27 01:59:14;296.241074
2015-03-27 01:59:16;294.360373
2015-03-27 02:00:33;304.359033
2015-03-27 02:01:55;288.286483
2015-03-27 02:02:07;288.286483
2015-03-27 02:02:23;289.873352
2015-03-27 02:03:47;288.922310
2015-03-27 02:03:50;287.833322
2015-03-27 02:05:09;286.878259
2015-03-27 02:25:33;309.643578
2015-03-27 02:28:19;301.682639
2015-03-27 02:29:39;294.730282
2015-03-27 02:54:54;289.591227
2015-03-27 02:57:05;286.716814
