"dateAndTime";"svmRadial";"nnet";"kknn";"kalmanFilter"
"2015-03-23 00:00:59";280.231840349284;349.753196218945;346.824869595879;315.748833810313
"2015-03-23 00:01:35";319.300301764453;419.351696982503;447.033392018336;313.299938454274
"2015-03-23 00:05:17";274.941978102838;376.175553187537;387.546807964033;312.054544400918
"2015-03-23 00:15:46";287.018842981485;347.307502280846;307.712362134321;309.93517665369
"2015-03-23 00:18:20";278.35350188701;369.334460197826;344.030211190449;328.447035704978
"2015-03-23 00:22:17";272.977553504311;381.608858807883;443.392312768396;326.652923770221
"2015-03-23 00:24:58";279.087574700338;356.926684963267;375.660374274308;322.978120074667
"2015-03-23 00:29:27";254.444653208585;361.274149242942;330.535935370937;323.176097842533
"2015-03-23 00:32:13";280.872166238372;378.965316131401;369.314402508595;317.408083200431
"2015-03-23 00:32:15";281.151711620663;378.692394639671;371.919996473863;315.665113890911
"2015-03-23 00:32:47";296.156217534961;360.968920852498;381.883215837395;314.057167742526
"2015-03-23 00:32:56";270.006617437397;363.66213238283;271.269396904555;333.842876470124
"2015-03-23 00:33:04";270.142007977269;359.107534582072;302.690238643948;330.207947499653
"2015-03-23 00:33:35";269.965566212343;362.00819786601;268.211795937386;327.441101102224
"2015-03-23 00:34:38";272.023745993266;349.059638089996;374.715052073495;324.367426589606
"2015-03-23 00:34:42";271.43831321148;351.86311401742;372.717562431524;323.561737050864
"2015-03-23 00:35:27";288.218439623188;296.12572207305;326.398363368469;322.303455914168
"2015-03-23 00:58:22";273.285907150707;391.213825550776;361.079375118063;323.912949219591
"2015-03-23 01:06:55";264.810025201451;324.99449810515;367.621163625373;318.994716195578
"2015-03-23 01:10:48";274.138214613789;378.057473217134;397.798390318234;317.567446038618
"2015-03-23 01:17:25";279.819579015786;327.349438945362;350.204992255091;314.881353622775
"2015-03-23 01:17:29";269.133421376679;359.294033145853;284.864957245583;333.149736216787
"2015-03-23 01:18:56";269.250247102343;357.363348214288;298.225775813215;329.893503468857
"2015-03-23 01:18:59";269.39423678458;356.1009229602;322.534855365396;327.092910454658
"2015-03-23 01:19:06";269.976872017579;352.73224562779;366.229395141486;324.627077863474
"2015-03-23 01:19:53";269.530030953951;355.167160141915;330.529977457907;322.824103320851
"2015-03-23 01:20:01";269.530030953951;355.167160141915;330.529977457907;320.716079077532
"2015-03-23 01:20:35";279.546704662408;366.824025676249;344.916351455161;318.711822709448
"2015-03-23 01:20:45";280.42847156085;364.673145109088;349.874129484806;317.839955028177
"2015-03-23 01:40:50";277.921269479942;370.192334758078;351.895450778899;317.404806640606
"2015-03-23 02:13:56";278.066808274774;369.905215204453;348.829111539285;316.006574888348
"2015-03-23 02:18:40";281.745816305601;357.988009401911;368.808377095218;314.726396528522
"2015-03-23 03:02:35";279.423485914299;367.098247686516;342.087534348357;315.773593513001
"2015-03-23 03:05:08";275.66717965341;374.636667944088;380.682100570479;314.997135515024
"2015-03-23 03:05:10";273.243705047189;380.627480456152;444.262962459229;312.979044092892
"2015-03-23 03:07:40";274.528872176012;377.111580163514;387.472532648255;310.125015144836
"2015-03-23 03:07:51";279.423485914299;367.098247686516;342.087534348357;307.952953281329
"2015-03-23 03:11:16";274.791796164155;350.505446691073;358.065068318914;307.561467715422
"2015-03-23 03:15:54";272.808092327674;377.320666111553;399.797865931215;308.321432263735
"2015-03-23 03:21:34";273.171407086156;370.107285237996;343.762502298286;305.204423290225
"2015-03-23 03:22:52";264.538468710629;345.627797424724;339.669018852242;303.373028814388
"2015-03-23 03:30:35";271.230312449457;360.11241724221;315.091436019494;301.877910969093
"2015-03-23 03:31:39";271.821464829727;371.696222548974;388.299490976866;300.702516476288
"2015-03-23 03:34:18";274.664321770658;376.798471062691;381.987280718325;298.059000374828
"2015-03-23 03:38:01";269.89522329364;365.744581723932;304.943521352022;296.530115455211
"2015-03-23 03:43:31";269.221996381761;364.092561989701;276.184675154583;294.091986549822
"2015-03-23 03:59:26";272.694120697467;382.932100050741;447.717757628421;291.527749075731
"2015-03-23 04:03:11";276.72285148795;372.530770465845;363.939967761029;289.385087742667
"2015-03-23 04:15:03";295.068432051566;337.119888509684;357.191241074464;288.972330279622
"2015-03-23 04:15:42";278.35350188701;369.334460197826;344.030211190449;300.541609895571
"2015-03-23 04:18:28";281.686537595435;359.396168728245;363.702445628219;300.121147601197
"2015-03-23 04:18:30";280.329117002292;364.937814535677;345.647188786883;301.591939522917
"2015-03-23 04:18:49";278.9057567152;368.206954504074;331.876862996965;301.907377460686
"2015-03-23 04:19:11";280.329117002292;364.937814535677;345.647188786883;301.616585735095
"2015-03-23 04:20:26";274.26563641391;377.741084172068;395.135600387875;301.930810458605
"2015-03-23 04:24:17";317.031276365463;377.982224159982;346.117069527875;300.063659442823
"2015-03-23 04:25:32";291.771496201115;364.404086158738;470.579858702633;337.176312378154
"2015-03-23 04:28:38";273.921855061138;387.344233487872;393.255680229703;337.659885180846
"2015-03-23 04:45:44";550.271396313584;1176.2656680921;525.783497676527;333.640162540582
"2015-03-23 04:54:53";273.550385471714;379.655669965105;406.697129220346;327.553953142789
"2015-03-23 04:57:30";275.372661596954;375.248462217417;383.67535607692;324.130147200021
"2015-03-23 04:59:18";268.177418041714;360.548408360467;272.557100507512;321.564031261012
"2015-03-23 04:59:53";267.870872362444;355.246768875927;305.847138161623;318.238179583338
"2015-03-23 05:00:52";270.76167343448;342.062276939207;338.878205196015;315.863646455268
"2015-03-23 05:00:57";269.719998090917;345.885724348847;396.833208407319;315.821133302063
