"dateAndTime";"frbsPrediction"
"2015-03-20 00:03:48";297.083417577463
"2015-03-20 00:12:58";297.083417577463
"2015-03-20 00:14:07";297.083417577463
"2015-03-20 00:20:05";366.944204900631
"2015-03-20 00:31:37";366.944204900631
"2015-03-20 00:32:20";297.083417577463
"2015-03-20 00:32:21";297.083417577463
"2015-03-20 00:32:26";297.083417577463
"2015-03-20 00:32:29";297.083417577463
"2015-03-20 00:33:24";297.083417577463
"2015-03-20 00:33:35";297.083417577463
"2015-03-20 00:43:39";297.083417577463
"2015-03-20 00:44:44";297.083417577463
"2015-03-20 00:46:43";297.083417577463
"2015-03-20 00:57:52";297.083417577463
"2015-03-20 01:07:37";297.083417577463
"2015-03-20 01:08:45";297.083417577463
"2015-03-20 01:16:13";297.083417577463
"2015-03-20 01:18:00";297.083417577463
"2015-03-20 01:18:10";297.083417577463
"2015-03-20 01:18:12";297.083417577463
"2015-03-20 01:19:01";297.083417577463
"2015-03-20 01:19:08";297.083417577463
"2015-03-20 01:27:05";297.083417577463
"2015-03-20 01:40:13";297.083417577463
"2015-03-20 01:51:37";297.083417577463
"2015-03-20 02:03:22";297.083417577463
"2015-03-20 02:24:01";297.083417577463
"2015-03-20 02:24:29";297.083417577463
"2015-03-20 02:41:22";366.944204900631
"2015-03-20 02:53:12";366.944204900631
"2015-03-20 03:06:08";513.583686711933
"2015-03-20 03:06:54";392.74877457292
"2015-03-20 03:09:08";551.487787900862
"2015-03-20 03:10:03";513.583686711933
"2015-03-20 03:11:00";392.74877457292
"2015-03-20 03:17:22";392.74877457292
"2015-03-20 03:17:38";392.74877457292
"2015-03-20 03:27:53";392.74877457292
"2015-03-20 03:32:23";392.74877457292
"2015-03-20 03:44:10";392.74877457292
"2015-03-20 03:54:33";392.74877457292
"2015-03-20 03:57:58";392.74877457292
"2015-03-20 04:00:41";392.74877457292
"2015-03-20 04:02:19";392.74877457292
"2015-03-20 04:04:35";392.74877457292
"2015-03-20 04:16:05";392.74877457292
"2015-03-20 04:16:07";392.74877457292
"2015-03-20 04:16:40";392.74877457292
"2015-03-20 04:17:41";513.583686711933
"2015-03-20 04:17:55";392.74877457292
"2015-03-20 04:20:31";392.74877457292
"2015-03-20 04:24:13";392.74877457292
"2015-03-20 04:24:34";392.74877457292
"2015-03-20 04:25:34";513.583686711933
"2015-03-20 04:25:50";392.74877457292
"2015-03-20 04:27:15";392.74877457292
"2015-03-20 04:31:52";366.944204900631
"2015-03-20 04:32:54";392.74877457292
"2015-03-20 04:33:05";366.944204900631
"2015-03-20 04:42:24";366.944204900631
"2015-03-20 04:48:24";366.944204900631
"2015-03-20 04:49:04";366.944204900631
