"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
"2015-02-07 00:00:57";309;8;288
"2015-02-07 00:01:23";1143;10;1727
"2015-02-07 00:02:18";1143;9;247
"2015-02-07 00:04:36";1143;10;274
"2015-02-07 00:04:38";1143;11;274
"2015-02-07 00:05:31";1136;11;243
"2015-02-07 00:13:56";263.666666666667;4;277
"2015-02-07 00:15:00";300;6;263
"2015-02-07 00:15:44";300;9;339
"2015-02-07 00:22:28";293;11;245
"2015-02-07 00:23:34";301;9;285
"2015-02-07 00:25:34";339;7;313
"2015-02-07 00:32:23";775;7;261
"2015-02-07 00:33:48";1020;9;282
"2015-02-07 00:34:24";1437.66666666667;10;297
"2015-02-07 00:34:33";1437.66666666667;11;282
"2015-02-07 00:34:43";1437.66666666667;12;287
"2015-02-07 00:35:07";1437.66666666667;11;290
"2015-02-07 00:35:09";1437.66666666667;12;273
"2015-02-07 00:35:15";1293;13;301
"2015-02-07 00:35:25";1293;16;1214
"2015-02-07 00:35:29";1293;17;305
"2015-02-07 00:35:34";1293;18;310
"2015-02-07 00:35:35";1293;19;308
"2015-02-07 00:35:38";1293;20;292
"2015-02-07 00:36:10";2273;23;299
"2015-02-07 00:36:38";2273;23;330
"2015-02-07 00:36:43";2273;24;328
"2015-02-07 00:37:22";1267;27;344
"2015-02-07 00:37:32";1267;28;1285
"2015-02-07 00:37:39";1267;29;300
"2015-02-07 00:37:41";1267;30;287
"2015-02-07 00:41:49";293.833333333333;10;316
"2015-02-07 00:42:45";298.1875;5;1198
"2015-02-07 00:49:27";316;6;287
"2015-02-07 00:52:30";300;5;257
"2015-02-07 00:57:02";586;6;297
"2015-02-07 01:06:04";747.5;2;299
"2015-02-07 01:11:42";299;5;300
"2015-02-07 01:12:03";299;6;324
"2015-02-07 01:15:54";299;4;272
"2015-02-07 01:19:25";312;9;300
"2015-02-07 01:22:05";298;5;315
"2015-02-07 01:29:41";315;7;285
"2015-02-07 01:33:38";300;5;266
"2015-02-07 01:34:18";300;6;1018
"2015-02-07 01:34:22";300;8;253
"2015-02-07 01:35:39";285;9;741
"2015-02-07 01:35:41";285;10;298
"2015-02-07 01:36:31";285;12;318
"2015-02-07 01:36:53";285;14;300
"2015-02-07 01:41:40";272.333333333333;5;575
"2015-02-07 01:46:09";309;4;281
"2015-02-07 01:50:07";741;3;483
"2015-02-07 01:55:16";624.666666666667;5;308
"2015-02-07 01:56:33";300;6;265
"2015-02-07 01:57:19";300;6;258
"2015-02-07 01:58:45";483;4;1253
"2015-02-07 01:59:46";483;5;340
"2015-02-07 02:11:50";300;2;239
"2015-02-07 02:14:11";300;2;263
"2015-02-07 02:26:37";300;3;258
"2015-02-07 02:26:40";300;4;249
"2015-02-07 02:27:33";300;5;321
"2015-02-07 02:27:35";300;5;316
"2015-02-07 02:37:07";318.5;4;277
"2015-02-07 02:57:05";300;4;338
"2015-02-07 03:01:41";2420;3;325
"2015-02-07 03:09:40";325;1;540
"2015-02-07 03:10:22";325;1;967
"2015-02-07 03:12:20";300;2;270
"2015-02-07 03:21:57";540;2;263
"2015-02-07 03:24:18";300;4;1644
"2015-02-07 03:25:47";300;5;299
"2015-02-07 03:27:03";615;4;346
"2015-02-07 03:40:29";300;3;1540
"2015-02-07 03:41:21";300;4;257
"2015-02-07 03:47:02";257;2;250
"2015-02-07 03:54:13";947;1;379
"2015-02-07 04:02:54";379;2;272
"2015-02-07 04:12:54";300;3;289
"2015-02-07 04:36:49";300;1;277
"2015-02-07 04:37:13";300;2;265
"2015-02-07 04:39:17";300;3;247
"2015-02-07 04:40:06";300;4;277
"2015-02-07 04:43:05";271;3;297
"2015-02-07 04:43:11";271;4;272
"2015-02-07 04:44:59";266.5;4;282
"2015-02-07 04:50:17";283.666666666667;1;260
"2015-02-07 04:50:24";283.666666666667;2;268
"2015-02-07 04:50:32";283.666666666667;3;250
"2015-02-07 04:51:36";283.666666666667;4;338
"2015-02-07 04:51:38";283.666666666667;5;308
"2015-02-07 04:54:05";282;6;292
"2015-02-07 04:57:14";284.8;3;1107
"2015-02-07 04:58:03";284.8;4;247
"2015-02-07 04:58:35";284.8;6;269
"2015-02-07 05:03:24";269.333333333333;3;268
"2015-02-07 05:05:01";258;3;295
"2015-02-07 05:05:03";258;4;279
"2015-02-07 05:16:56";1107;2;284
"2015-02-07 05:17:44";1107;3;233
"2015-02-07 05:17:57";1107;4;256
"2015-02-07 05:22:40";257.666666666667;3;254
"2015-02-07 05:27:04";255;3;1610
"2015-02-07 05:39:24";300;2;252
"2015-02-07 05:41:21";300;3;245
"2015-02-07 05:45:55";248.5;2;234
"2015-02-07 05:46:00";248.5;3;248
"2015-02-07 05:46:27";248.5;2;331
"2015-02-07 05:47:10";248.5;3;297
"2015-02-07 05:49:14";245;5;285
"2015-02-07 06:01:38";300;2;249
"2015-02-07 06:05:42";300;3;289
"2015-02-07 06:11:03";289;2;298
"2015-02-07 06:13:58";289;4;275
"2015-02-07 06:15:56";300;4;307
"2015-02-07 06:17:26";298;4;289
"2015-02-07 06:23:11";290.333333333333;4;277
"2015-02-07 06:23:21";290.333333333333;4;327
"2015-02-07 06:23:49";298;5;250
"2015-02-07 06:25:08";298;4;312
"2015-02-07 06:25:37";298;5;317
"2015-02-07 06:32:49";301.5;1;301
"2015-02-07 06:36:02";300;2;277
"2015-02-07 06:36:08";300;3;273
"2015-02-07 06:42:07";283.666666666667;3;249
"2015-02-07 06:44:09";275;5;263
"2015-02-07 06:46:09";300;12;345
"2015-02-07 06:49:52";256;10;235
"2015-02-07 07:00:54";300;8;356
"2015-02-07 07:00:56";300;9;289
"2015-02-07 07:01:40";300;10;345
"2015-02-07 07:02:34";300;8;307
"2015-02-07 07:05:49";289;11;1143
"2015-02-07 07:07:43";324.25;9;292
"2015-02-07 07:10:52";336;6;532
"2015-02-07 07:12:44";292;6;316
"2015-02-07 07:14:04";292;5;301
"2015-02-07 07:14:41";292;6;292
"2015-02-07 07:14:57";292;8;293
"2015-02-07 07:14:58";292;9;267
"2015-02-07 07:21:51";333.5;9;317
"2015-02-07 07:22:24";333.5;8;323
"2015-02-07 07:23:06";337;10;278
"2015-02-07 07:23:39";337;8;504
"2015-02-07 07:24:25";346;9;341
"2015-02-07 07:25:14";1143;9;280
"2015-02-07 07:25:29";1143;10;289
"2015-02-07 07:27:23";730;10;282
"2015-02-07 07:27:58";515.25;8;289
"2015-02-07 07:28:01";515.25;9;289
"2015-02-07 07:28:04";515.25;10;287
"2015-02-07 07:29:23";515.25;11;313
"2015-02-07 07:32:56";320.125;9;305
"2015-02-07 07:33:23";320.125;7;266
"2015-02-07 07:33:24";320.125;8;258
"2015-02-07 07:35:04";324.25;6;268
"2015-02-07 07:35:10";321.857142857143;7;266
"2015-02-07 07:36:11";327.333333333333;7;365
"2015-02-07 07:38:39";285.5;5;471
"2015-02-07 07:39:35";282;7;310
"2015-02-07 07:39:48";272.6;9;282
"2015-02-07 07:39:50";272.6;10;282
"2015-02-07 07:41:00";272.6;15;282
"2015-02-07 07:42:05";272.6;17;315
"2015-02-07 07:42:28";288;19;256
"2015-02-07 07:42:55";301;20;269
"2015-02-07 07:43:39";299.666666666667;20;259
"2015-02-07 07:47:49";308.375;6;260
"2015-02-07 07:47:52";308.375;7;287
"2015-02-07 07:48:04";302.888888888889;7;268
"2015-02-07 07:49:11";302.888888888889;8;301
"2015-02-07 07:49:22";302.888888888889;9;287
"2015-02-07 07:52:34";262.333333333333;13;259
"2015-02-07 07:53:02";271.666666666667;11;291
"2015-02-07 07:55:27";280.6;12;303
"2015-02-07 07:55:59";280.6;11;264
"2015-02-07 07:56:12";280.6;12;293
"2015-02-07 07:57:37";283.5;10;435
"2015-02-07 07:57:43";282.333333333333;11;293
"2015-02-07 07:57:49";282.333333333333;12;289
"2015-02-07 07:57:57";284.5;13;335
"2015-02-07 07:57:59";284.5;14;301
"2015-02-07 07:59:23";275;14;729
"2015-02-07 08:00:13";275;13;268
"2015-02-07 08:00:16";275;14;268
"2015-02-07 08:00:57";279.25;14;292
"2015-02-07 08:01:11";282;15;274
"2015-02-07 08:01:44";282;15;309
"2015-02-07 08:01:53";282;16;685
"2015-02-07 08:02:44";288.833333333333;15;273
"2015-02-07 08:03:16";290.5;13;280
"2015-02-07 08:05:07";304.9;14;306
"2015-02-07 08:05:50";304.8;11;317
"2015-02-07 08:07:29";303.363636363636;8;222
"2015-02-07 08:07:37";304.4;9;273
"2015-02-07 08:08:43";299.875;8;312
"2015-02-07 08:09:20";299.875;8;454
"2015-02-07 08:12:03";354.5;8;279
"2015-02-07 08:12:50";354.5;5;275
"2015-02-07 08:14:17";406.285714285714;6;281
"2015-02-07 08:14:29";406.285714285714;5;438
"2015-02-07 08:14:32";406.285714285714;6;286
"2015-02-07 08:14:40";406.285714285714;6;319
"2015-02-07 08:16:57";400.6;8;265
"2015-02-07 08:17:07";400.6;7;253
"2015-02-07 08:18:44";330;8;253
"2015-02-07 08:19:45";315;8;268
"2015-02-07 08:20:53";315.666666666667;10;258
"2015-02-07 08:21:01";315.666666666667;11;251
"2015-02-07 08:21:02";315.666666666667;12;247
"2015-02-07 08:21:04";315.666666666667;13;251
"2015-02-07 08:21:44";304.714285714286;15;308
"2015-02-07 08:24:21";299.333333333333;17;306
"2015-02-07 08:24:57";299.333333333333;16;302
