"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-02-02 00:03:32;300;2;1428
2015-02-02 00:12:08;300;4;224
2015-02-02 00:20:06;224;3;309
2015-02-02 00:22:51;300;5;1532
2015-02-02 00:34:32;300;1;278
2015-02-02 00:35:27;300;3;237
2015-02-02 00:36:52;300;4;338
2015-02-02 00:37:03;300;7;266
2015-02-02 00:37:06;300;8;261
2015-02-02 00:37:26;300;9;262
2015-02-02 00:37:28;300;10;255
2015-02-02 00:37:38;300;12;254
2015-02-02 00:37:41;300;13;269
2015-02-02 00:37:43;300;14;249
2015-02-02 00:37:55;300;15;315
2015-02-02 00:38:36;300;16;360
2015-02-02 00:51:27;1532;0;305
2015-02-02 01:13:52;300;2;257
2015-02-02 01:28:02;300;1;1125
2015-02-02 01:34:35;300;1;278
2015-02-02 01:34:51;300;4;271
2015-02-02 01:35:32;300;6;289
2015-02-02 01:35:59;300;8;322
2015-02-02 01:39:15;278;9;228
2015-02-02 01:44:20;277.5;1;199
2015-02-02 01:51:26;662;1;301
2015-02-02 02:01:34;300;1;275
2015-02-02 02:12:39;300;1;245
2015-02-02 02:29:50;300;2;300
2015-02-02 02:30:27;300;2;277
2015-02-02 02:42:14;300;1;351
2015-02-02 03:22:47;300;4;251
2015-02-02 03:22:51;300;4;225
2015-02-02 03:28:31;238;5;256
2015-02-02 03:28:36;238;5;253
2015-02-02 03:53:44;300;1;280
2015-02-02 04:03:58;300;1;239
2015-02-02 04:13:02;300;1;253
2015-02-02 04:22:39;300;6;247
2015-02-02 04:27:10;247;5;257
2015-02-02 04:28:18;247;6;247
2015-02-02 04:29:29;247;7;271
2015-02-02 04:29:36;247;8;253
2015-02-02 04:40:26;300;4;1354
2015-02-02 04:49:41;300;1;255
2015-02-02 04:49:59;300;2;267
2015-02-02 04:54:15;255;5;289
2015-02-02 04:54:23;255;6;260
2015-02-02 05:05:24;1354;3;276
2015-02-02 05:05:41;1354;4;259
2015-02-02 05:14:35;267.5;4;307
2015-02-02 05:15:59;300;5;263
2015-02-02 05:19:46;307;9;373
2015-02-02 05:20:45;285;10;708
2015-02-02 05:20:47;285;11;568
2015-02-02 05:21:14;285;10;294
2015-02-02 05:21:38;285;11;278
2015-02-02 05:23:47;285;14;249
2015-02-02 05:23:54;285;14;250
2015-02-02 05:23:55;285;15;264
2015-02-02 05:25:12;263;10;276
2015-02-02 05:26:00;373;8;757
2015-02-02 05:26:28;315;8;266
2015-02-02 05:27:19;315;6;259
2015-02-02 05:27:49;315;4;265
2015-02-02 05:27:56;298.5;5;265
2015-02-02 05:28:08;288.8;6;258
2015-02-02 05:33:22;358.125;7;268
2015-02-02 05:34:17;358.125;9;1658
2015-02-02 05:38:03;268;15;1410
2015-02-02 05:38:34;268;14;267
2015-02-02 05:38:52;512.5;15;254
2015-02-02 05:40:19;512.5;15;256
2015-02-02 05:40:49;512.5;15;322
2015-02-02 05:40:51;512.5;16;622
2015-02-02 05:41:21;512.5;15;214
2015-02-02 05:41:39;512.5;15;289
2015-02-02 05:41:47;512.5;17;276
2015-02-02 05:41:53;512.5;17;236
2015-02-02 05:42:18;512.5;17;282
2015-02-02 05:43:37;426;13;272
2015-02-02 05:43:48;260.5;14;256
2015-02-02 05:43:51;260.5;15;244
2015-02-02 05:44:08;260.5;16;276
2015-02-02 05:44:10;260.5;17;262
2015-02-02 05:44:22;260.5;18;288
2015-02-02 05:44:50;259;20;253
2015-02-02 05:45:13;247.75;20;406
2015-02-02 05:45:27;247.75;19;232
2015-02-02 05:46:20;258.166666666667;18;240
2015-02-02 05:46:31;264.25;19;285
2015-02-02 05:46:43;264.25;19;271
2015-02-02 05:49:01;265.416666666667;25;1021
2015-02-02 05:49:53;264.428571428571;32;553
2015-02-02 05:51:01;268.615384615385;35;1346
2015-02-02 05:51:51;291;32;1393
2015-02-02 05:53:59;324.625;29;257
2015-02-02 05:54:06;334.857142857143;27;280
2015-02-02 05:54:27;364.8;23;292
2015-02-02 05:54:48;364.8;19;292
2015-02-02 05:54:52;364.8;19;272
2015-02-02 05:55:34;396;18;280
2015-02-02 05:55:42;396;19;277
2015-02-02 05:56:13;396;14;256
2015-02-02 05:56:40;406;15;294
2015-02-02 05:57:02;300;15;301
2015-02-02 05:57:04;300;16;261
2015-02-02 05:57:32;300;15;265
2015-02-02 05:57:40;300;16;257
2015-02-02 05:58:05;300;16;279
2015-02-02 05:59:13;363.333333333333;19;271
2015-02-02 05:59:21;345.5;20;268
2015-02-02 05:59:30;330.8;20;271
2015-02-02 06:01:31;302;20;334
2015-02-02 06:01:35;393.666666666667;21;301
2015-02-02 06:01:59;460.266666666667;19;305
2015-02-02 06:02:50;440.235294117647;16;264
2015-02-02 06:02:53;440.235294117647;17;280
2015-02-02 06:03:10;440.235294117647;17;292
2015-02-02 06:03:49;440.352941176471;18;242
2015-02-02 06:04:25;442.666666666667;15;267
2015-02-02 06:06:17;546.333333333333;13;295
2015-02-02 06:06:21;546.333333333333;14;277
2015-02-02 06:06:29;572.272727272727;14;287
2015-02-02 06:06:41;489.2;13;283
2015-02-02 06:07:05;381.25;14;255
2015-02-02 06:07:07;381.25;15;645
2015-02-02 06:07:11;381.25;16;299
2015-02-02 06:07:19;368.222222222222;17;304
2015-02-02 06:07:41;359.4;18;293
2015-02-02 06:08:06;349.909090909091;20;292
2015-02-02 06:08:40;349.909090909091;20;310
2015-02-02 06:08:56;357.7;21;276
2015-02-02 06:09:08;367.333333333333;22;308
2015-02-02 06:09:10;367.333333333333;23;297
2015-02-02 06:09:24;367.333333333333;25;280
2015-02-02 06:09:29;367.333333333333;25;284
2015-02-02 06:09:34;367.333333333333;26;292
