dateAndTime;fiveMinuteMean;trafficVolume;actualTravelTime
2015-01-30 07:20:17;578.64;65;1209
2015-01-30 07:20:25;589.36;64;788
2015-01-30 07:20:42;598.208333333333;66;640
2015-01-30 07:20:46;598.208333333333;66;686
2015-01-30 07:20:49;598.208333333333;67;728
2015-01-30 07:20:52;598.208333333333;67;739
2015-01-30 07:20:56;603.708333333333;67;669
2015-01-30 07:20:58;603.708333333333;67;737
2015-01-30 07:21:24;652.875;67;625
2015-01-30 07:21:33;673.318181818182;68;742
2015-01-30 07:21:43;671.347826086957;67;708
2015-01-30 07:21:47;671.347826086957;68;612
2015-01-30 07:21:51;675.652173913043;69;746
2015-01-30 07:22:02;680.739130434783;69;653
2015-01-30 07:22:08;687.363636363636;69;656
2015-01-30 07:22:35;702.931034482759;66;742
2015-01-30 07:22:45;698.903225806452;65;692
2015-01-30 07:22:53;694.233333333333;66;681
2015-01-30 07:23:07;698.870967741935;69;622
2015-01-30 07:23:15;712.466666666667;70;718
2015-01-30 07:23:21;712.466666666667;72;716
2015-01-30 07:23:34;707.838709677419;71;708
2015-01-30 07:23:39;707.838709677419;72;637
2015-01-30 07:23:48;705.333333333333;72;708
2015-01-30 07:24:08;683.322580645161;71;669
2015-01-30 07:24:23;684.870967741935;72;708
2015-01-30 07:24:26;689;72;684
2015-01-30 07:24:28;689;73;727
2015-01-30 07:24:32;689;73;624
2015-01-30 07:24:44;689;74;716
2015-01-30 07:24:47;689;74;740
2015-01-30 07:24:49;689;75;715
2015-01-30 07:24:54;692.379310344828;75;774
2015-01-30 07:24:56;690.266666666667;76;677
2015-01-30 07:25:20;694.034482758621;74;764
2015-01-30 07:25:26;686.758620689655;74;685
2015-01-30 07:25:39;686.2;74;682
2015-01-30 07:25:39;686.2;74;1222
2015-01-30 07:25:41;686.2;75;729
2015-01-30 07:26:01;687.933333333333;71;726
2015-01-30 07:26:21;662.25;69;701
2015-01-30 07:26:41;708.1;65;818
2015-01-30 07:26:44;710.862068965517;65;721
2015-01-30 07:27:02;790.172413793103;63;1013
2015-01-30 07:27:08;790.172413793103;63;841
2015-01-30 07:27:10;786.7;63;850
2015-01-30 07:27:38;792.708333333333;65;2882
2015-01-30 07:27:43;801.304347826087;66;855
2015-01-30 07:27:44;801.304347826087;66;881
2015-01-30 07:27:51;857.76;65;787
2015-01-30 07:27:52;857.76;66;853
2015-01-30 07:27:56;858.04;66;967
2015-01-30 07:28:01;858.04;65;1639
2015-01-30 07:28:09;865.75;64;628
2015-01-30 07:28:21;866.791666666667;62;884
2015-01-30 07:28:41;871.583333333333;63;906
2015-01-30 07:28:44;871.583333333333;63;979
2015-01-30 07:28:52;871.583333333333;63;839
2015-01-30 07:29:00;896.045454545455;64;841
2015-01-30 07:29:28;886.826086956522;65;894
2015-01-30 07:29:42;876.666666666667;63;886
2015-01-30 07:29:56;952.875;60;659
2015-01-30 07:29:57;952.875;59;567
2015-01-30 07:30:05;967.28;59;812
2015-01-30 07:30:17;953.961538461538;60;712
2015-01-30 07:30:21;943.740740740741;59;899
2015-01-30 07:30:26;955.423076923077;59;874
2015-01-30 07:30:33;968.6;59;831
2015-01-30 07:30:39;982.791666666667;59;902
2015-01-30 07:30:48;970.16;60;854
2015-01-30 07:30:49;981.791666666667;61;910
2015-01-30 07:30:52;968.52;61;653
2015-01-30 07:31:05;968.52;64;894
2015-01-30 07:31:06;968.52;64;1039
2015-01-30 07:31:34;968.48;69;906
2015-01-30 07:31:52;921.375;67;934
2015-01-30 07:32:16;823.36;65;905
2015-01-30 07:32:24;829.041666666667;67;862
2015-01-30 07:32:31;829.041666666667;68;930
2015-01-30 07:32:38;829.041666666667;68;889
2015-01-30 07:32:50;785.818181818182;69;957
2015-01-30 07:32:52;785.818181818182;69;966
2015-01-30 07:32:57;782.739130434783;69;979
2015-01-30 07:32:59;782.739130434783;70;982
2015-01-30 07:33:06;793.68;71;997
2015-01-30 07:33:16;789.555555555556;71;903
2015-01-30 07:33:24;805.5;71;769
2015-01-30 07:33:35;800.346153846154;69;812
2015-01-30 07:33:47;800.346153846154;68;934
2015-01-30 07:34:08;804.192307692308;66;652
2015-01-30 07:34:13;804.192307692308;66;999
2015-01-30 07:34:16;793.821428571429;66;1004
2015-01-30 07:34:21;788.833333333333;66;996
2015-01-30 07:34:26;793.448275862069;66;1356
2015-01-30 07:34:31;798.821428571429;66;633
2015-01-30 07:34:48;798.821428571429;65;624
2015-01-30 07:35:08;716.333333333333;66;1012
2015-01-30 07:35:34;715.8;63;1087
2015-01-30 07:35:39;715.548387096774;64;1051
2015-01-30 07:35:47;717.166666666667;63;565
2015-01-30 07:35:51;718.3;63;1096
2015-01-30 07:35:57;718.3;62;2069
2015-01-30 07:35:59;718.3;62;836
2015-01-30 07:36:13;716.6875;62;590
2015-01-30 07:36:18;716.6875;62;576
2015-01-30 07:36:26;722.379310344828;61;1069
2015-01-30 07:36:29;722.379310344828;61;1653
2015-01-30 07:36:34;722.379310344828;62;814
2015-01-30 07:36:48;722.09375;62;1068
2015-01-30 07:37:05;726.15625;64;1050
2015-01-30 07:37:08;728.375;65;655
2015-01-30 07:37:11;728.375;66;612
2015-01-30 07:37:41;729.741935483871;61;1085
2015-01-30 07:38:00;721.766666666667;59;1078
2015-01-30 07:38:17;707.896551724138;59;615
2015-01-30 07:38:25;707.896551724138;59;1163
2015-01-30 07:38:30;710.964285714286;60;1046
2015-01-30 07:38:46;705.714285714286;60;1089
2015-01-30 07:38:54;705.714285714286;61;1116
2015-01-30 07:39:14;704.37037037037;66;658
2015-01-30 07:39:43;701.208333333333;66;1076
2015-01-30 07:39:54;701.208333333333;68;1000
2015-01-30 07:40:13;702.863636363636;70;829
2015-01-30 07:40:20;708.9;70;703
2015-01-30 07:40:26;733.95;72;1311
2015-01-30 07:40:27;733.95;73;690
2015-01-30 07:40:41;735.315789473684;72;1079
2015-01-30 07:40:46;735.315789473684;73;1089
2015-01-30 07:40:53;738.166666666667;72;1033
2015-01-30 07:41:00;736.65;72;991
2015-01-30 07:41:12;743.3;72;1065
2015-01-30 07:41:15;746.789473684211;72;1106
2015-01-30 07:41:22;751.95;71;2737
2015-01-30 07:41:39;753.263157894737;70;1030
2015-01-30 07:41:39;753.263157894737;70;1102
2015-01-30 07:41:53;809.166666666667;71;703
2015-01-30 07:42:06;820.578947368421;69;674
2015-01-30 07:42:09;819.105263157895;69;1042
2015-01-30 07:42:17;819.105263157895;70;1097
2015-01-30 07:42:30;822.2;70;1054
2015-01-30 07:42:55;830.526315789474;69;1016
2015-01-30 07:43:01;831.05;69;1016
2015-01-30 07:43:23;850.777777777778;69;1444
2015-01-30 07:43:30;850.777777777778;69;1546
2015-01-30 07:43:44;861;70;645
2015-01-30 07:43:48;871.277777777778;70;643
2015-01-30 07:44:00;878.736842105263;69;642
2015-01-30 07:44:00;878.736842105263;69;1093
2015-01-30 07:44:11;883.15;66;1036
2015-01-30 07:44:17;883.15;65;1039
2015-01-30 07:44:29;895.772727272727;63;1039
2015-01-30 07:44:41;895.772727272727;64;646
2015-01-30 07:45:10;877.740740740741;59;988
2015-01-30 07:45:37;848.571428571429;55;998
2015-01-30 07:45:55;841.266666666667;53;948
2015-01-30 07:46:14;854.25;53;841
2015-01-30 07:46:44;856;53;963
2015-01-30 07:46:48;862.53125;55;984
2015-01-30 07:46:51;835;55;987
2015-01-30 07:47:07;832.966666666667;58;614
2015-01-30 07:47:11;837.137931034483;58;2958
2015-01-30 07:47:25;832.064516129032;57;926
2015-01-30 07:47:35;835.5;56;952
2015-01-30 07:48:32;862.914285714286;54;934
2015-01-30 07:48:36;862.914285714286;54;1019
2015-01-30 07:49:04;861.424242424242;56;943
2015-01-30 07:49:08;861.424242424242;58;940
2015-01-30 07:49:31;870.030303030303;61;569
2015-01-30 07:49:34;870.030303030303;61;621
2015-01-30 07:49:45;873.764705882353;60;704
2015-01-30 07:49:46;873.764705882353;61;968
2015-01-30 07:49:48;873.764705882353;62;949
2015-01-30 07:49:53;873.764705882353;62;990
2015-01-30 07:50:18;894.5;64;844
2015-01-30 07:50:29;894.344827586207;66;607
2015-01-30 07:50:43;894.071428571429;69;608
2015-01-30 07:50:46;894.071428571429;69;2339
2015-01-30 07:50:52;897.689655172414;69;934
2015-01-30 07:51:02;904.851851851852;69;945
2015-01-30 07:51:11;916.961538461538;69;955
2015-01-30 07:51:19;922.88;70;954
2015-01-30 07:51:30;922.88;71;939
2015-01-30 07:51:40;922.88;72;941
2015-01-30 07:51:55;926.260869565217;69;946
2015-01-30 07:52:01;920.24;68;1313
2015-01-30 07:52:09;915.88;67;969
2015-01-30 07:52:12;915.88;67;1571
2015-01-30 07:52:36;931.285714285714;71;918
2015-01-30 07:53:16;901.842105263158;74;900
2015-01-30 07:53:28;881.5;74;1366
2015-01-30 07:53:43;992.75;72;927
2015-01-30 07:53:50;994.631578947368;72;560
2015-01-30 07:53:57;994.631578947368;73;893
2015-01-30 07:54:10;992.85;70;1430
2015-01-30 07:54:15;996.47619047619;69;533
2015-01-30 07:54:18;997.35;69;885
2015-01-30 07:54:24;1001.72222222222;70;785
2015-01-30 07:54:26;1001.72222222222;71;535
2015-01-30 07:54:33;965.95;72;547
2015-01-30 07:54:46;958.272727272727;73;840
2015-01-30 07:54:52;958.272727272727;73;586
2015-01-30 07:55:00;964.095238095238;74;887
2015-01-30 07:55:19;988.105263157895;73;865
2015-01-30 07:55:22;1020.65;74;845
2015-01-30 07:55:53;1006.90476190476;71;1555
2015-01-30 07:55:55;1006.90476190476;71;866
2015-01-30 07:55:58;1012.40909090909;72;811
2015-01-30 07:56:21;1012.80952380952;72;794
2015-01-30 07:56:34;1012.22727272727;71;805
2015-01-30 07:56:56;1015.5652173913;71;812
2015-01-30 07:56:58;1030.36363636364;72;785
2015-01-30 07:57:01;1031.2380952381;72;644
2015-01-30 07:57:03;1046;72;819
2015-01-30 07:57:15;1062.33333333333;72;568
2015-01-30 07:57:18;1062.33333333333;72;781
2015-01-30 07:57:34;1042.91666666667;68;822
2015-01-30 07:58:33;1063.08;67;765
2015-01-30 07:59:01;992.814814814815;63;984
2015-01-30 07:59:30;1007.26086956522;61;2967
2015-01-30 07:59:35;1024.60869565217;61;573
2015-01-30 07:59:45;1043.42857142857;60;1171
2015-01-30 07:59:50;1043.42857142857;60;1298
2015-01-30 07:59:58;1023.54166666667;58;761
2015-01-30 08:00:05;1027.73076923077;58;699
2015-01-30 08:00:09;1027.73076923077;58;754
2015-01-30 08:00:10;1027.73076923077;59;755
2015-01-30 08:00:25;997.038461538462;59;748
2015-01-30 08:00:34;1014.38461538462;60;702
2015-01-30 08:00:37;999.296296296296;61;723
2015-01-30 08:00:44;999.296296296296;63;567
2015-01-30 08:00:46;999.296296296296;62;593
2015-01-30 08:00:55;981.62962962963;63;550
2015-01-30 08:01:15;975.2;60;741
2015-01-30 08:01:22;975.2;58;564
2015-01-30 08:01:30;967.407407407407;59;1017
2015-01-30 08:01:33;967.407407407407;59;750
2015-01-30 08:01:36;968.851851851852;59;1421
2015-01-30 08:01:38;969.535714285714;60;757
2015-01-30 08:01:40;969.535714285714;61;781
2015-01-30 08:01:51;971.133333333333;60;694
2015-01-30 08:01:58;967.068965517241;59;2081
2015-01-30 08:02:15;959.333333333333;59;669
2015-01-30 08:02:55;965;60;491
2015-01-30 08:02:57;965;60;679
2015-01-30 08:03:03;965;61;669
2015-01-30 08:03:23;924.5625;64;688
2015-01-30 08:03:29;925.393939393939;65;661
2015-01-30 08:03:44;909.272727272727;69;674
2015-01-30 08:03:50;905.5;70;702
2015-01-30 08:04:05;930.2;74;615
2015-01-30 08:04:10;930.322580645161;73;636
2015-01-30 08:04:15;930.322580645161;74;591
2015-01-30 08:04:21;930.322580645161;76;689
2015-01-30 08:04:44;907.161290322581;75;986
2015-01-30 08:04:49;909.242424242424;75;662
2015-01-30 08:04:52;905.90625;75;671
2015-01-30 08:05:13;899.857142857143;75;942
2015-01-30 08:05:25;902.037037037037;75;616
2015-01-30 08:05:40;911.814814814815;72;683
2015-01-30 08:05:41;911.814814814815;72;785
2015-01-30 08:05:45;911.814814814815;72;673
2015-01-30 08:05:46;911.814814814815;73;601
2015-01-30 08:05:49;911.814814814815;73;559
2015-01-30 08:05:52;923.5;73;686
2015-01-30 08:05:58;925.148148148148;73;667
2015-01-30 08:06:03;925.148148148148;75;677
2015-01-30 08:06:16;925.148148148148;77;719
2015-01-30 08:06:22;925.148148148148;78;719
2015-01-30 08:06:33;931.962962962963;78;694
2015-01-30 08:06:41;925.44;75;704
2015-01-30 08:06:53;906.48;77;636
2015-01-30 08:07:00;906.48;78;707
2015-01-30 08:07:07;908.346153846154;77;720
2015-01-30 08:07:40;902.785714285714;78;784
2015-01-30 08:07:49;893.275862068965;79;780
2015-01-30 08:08:10;905.857142857143;78;726
2015-01-30 08:08:15;916.153846153846;78;779
2015-01-30 08:08:21;914.888888888889;78;710
2015-01-30 08:08:37;928.6;76;813
2015-01-30 08:09:02;938.5;71;762
2015-01-30 08:09:10;896.259259259259;72;775
2015-01-30 08:09:13;896.259259259259;71;721
2015-01-30 08:09:28;919.5;71;789
2015-01-30 08:09:49;918.413793103448;73;818
2015-01-30 08:09:52;918.413793103448;73;824
2015-01-30 08:09:56;918.413793103448;74;741
2015-01-30 08:10:17;889.121212121212;70;2083
2015-01-30 08:10:34;915.378378378378;70;723
2015-01-30 08:10:51;891.5;70;768
2015-01-30 08:10:53;891.5;70;720
2015-01-30 08:11:07;878.947368421053;68;758
2015-01-30 08:11:10;878.947368421053;68;577
2015-01-30 08:11:14;878.947368421053;69;686
2015-01-30 08:11:17;877.487179487179;69;576
2015-01-30 08:11:25;871.717948717949;71;683
2015-01-30 08:11:33;870.078947368421;72;568
2015-01-30 08:12:02;871.594594594595;71;1044
2015-01-30 08:12:05;871.594594594595;72;671
2015-01-30 08:12:18;860.085714285714;69;1843
2015-01-30 08:12:21;860.085714285714;70;659
2015-01-30 08:12:23;857.705882352941;71;659
2015-01-30 08:12:49;833.411764705882;70;705
2015-01-30 08:12:53;830.971428571429;70;707
2015-01-30 08:12:55;828.411764705882;71;706
2015-01-30 08:12:59;828.411764705882;71;637
2015-01-30 08:13:08;828.411764705882;70;577
2015-01-30 08:13:15;828.411764705882;69;726
2015-01-30 08:13:28;813.529411764706;68;681
2015-01-30 08:13:36;811.457142857143;71;602
2015-01-30 08:13:36;811.457142857143;71;720
2015-01-30 08:13:49;810.617647058824;71;652
2015-01-30 08:14:13;811.941176470588;70;645
2015-01-30 08:14:21;780.861111111111;70;641
2015-01-30 08:14:38;774.176470588235;70;691
2015-01-30 08:14:44;774.371428571429;70;693
2015-01-30 08:14:57;762.142857142857;68;1240
2015-01-30 08:15:11;757.882352941176;68;636
2015-01-30 08:15:16;763.666666666667;69;660
2015-01-30 08:15:24;759.806451612903;70;809
2015-01-30 08:16:11;788.272727272727;64;1083
2015-01-30 08:16:29;806;61;1513
2015-01-30 08:16:40;806;62;670
2015-01-30 08:16:45;809.451612903226;63;489
2015-01-30 08:16:48;809.451612903226;64;671
2015-01-30 08:17:14;797.529411764706;62;596
2015-01-30 08:17:26;793.628571428571;63;651
2015-01-30 08:17:32;789.25;63;1139
2015-01-30 08:17:46;794.375;63;680
2015-01-30 08:17:54;795.870967741935;63;676
2015-01-30 08:17:59;795.870967741935;63;601
2015-01-30 08:18:02;815.6875;63;689
2015-01-30 08:18:29;837.861111111111;62;671
2015-01-30 08:18:31;837.861111111111;63;485
2015-01-30 08:18:36;837.861111111111;63;585
2015-01-30 08:18:40;840.628571428571;63;717
2015-01-30 08:18:47;835.513513513514;64;672
2015-01-30 08:18:55;822.25;65;679
2015-01-30 08:19:03;822.25;65;665
2015-01-30 08:19:25;857.21875;65;651
2015-01-30 08:19:42;866.3;63;476
2015-01-30 08:19:47;874.241379310345;62;552
2015-01-30 08:19:52;880.892857142857;62;563
2015-01-30 08:19:56;880.892857142857;63;588
2015-01-30 08:20:01;888.555555555556;62;1346
2015-01-30 08:20:15;894.148148148148;63;610
2015-01-30 08:20:17;888.142857142857;63;639
2015-01-30 08:20:41;812;62;571
2015-01-30 08:20:43;820.166666666667;62;627
2015-01-30 08:20:50;816.307692307692;65;645
2015-01-30 08:21:09;818.769230769231;66;548
2015-01-30 08:21:15;800.285714285714;67;615
2015-01-30 08:21:16;800.285714285714;67;622
2015-01-30 08:21:23;800.285714285714;69;559
2015-01-30 08:21:30;817.448275862069;70;642
2015-01-30 08:21:40;817.448275862069;69;552
2015-01-30 08:21:47;815.6;68;668
2015-01-30 08:21:56;839.451612903226;69;673
2015-01-30 08:22:04;850.586206896552;70;562
2015-01-30 08:22:16;852.933333333333;69;656
2015-01-30 08:22:38;861.4;66;640
2015-01-30 08:22:48;842.060606060606;65;632
2015-01-30 08:23:11;824.5;66;523
2015-01-30 08:23:14;824.5;65;477
2015-01-30 08:23:21;818.030303030303;67;541
2015-01-30 08:23:34;789.064516129032;68;632
2015-01-30 08:23:37;785.515151515152;67;633
2015-01-30 08:23:45;779.166666666667;66;695
2015-01-30 08:23:57;781.117647058824;65;729
2015-01-30 08:24:05;781.117647058824;64;732
2015-01-30 08:24:06;781.117647058824;64;599
2015-01-30 08:24:08;782.969696969697;65;764
2015-01-30 08:24:12;782.969696969697;64;600
2015-01-30 08:24:14;782.969696969697;64;565
2015-01-30 08:24:21;770.84375;64;518
2015-01-30 08:24:23;770.84375;65;526
2015-01-30 08:24:26;770.84375;65;521
2015-01-30 08:24:34;768.848484848485;68;619
2015-01-30 08:24:40;767.029411764706;68;575
2015-01-30 08:24:44;762.138888888889;69;665
2015-01-30 08:24:47;762.138888888889;70;545
2015-01-30 08:25:11;747.325;67;569
2015-01-30 08:25:22;765.1;65;531
2015-01-30 08:25:51;764.589743589744;64;523
2015-01-30 08:26:08;770.361111111111;69;586
2015-01-30 08:26:20;758.083333333333;69;524
2015-01-30 08:26:27;758.083333333333;68;434
2015-01-30 08:27:05;768.514285714286;66;516
2015-01-30 08:27:10;763.4;67;566
2015-01-30 08:27:12;761.941176470588;68;571
2015-01-30 08:27:18;762.575757575758;69;1900
2015-01-30 08:27:21;762.575757575758;69;567
2015-01-30 08:27:29;762.575757575758;70;563
2015-01-30 08:27:35;762.575757575758;71;709
2015-01-30 08:27:38;754.03125;72;513
2015-01-30 08:27:39;754.03125;72;514
2015-01-30 08:27:45;756.225806451613;74;513
2015-01-30 08:28:00;755;77;1041
2015-01-30 08:28:23;755.066666666667;73;978
2015-01-30 08:28:28;752.896551724138;73;511
2015-01-30 08:28:39;760.423076923077;72;648
2015-01-30 08:28:51;760.208333333333;71;2908
2015-01-30 08:28:52;760.208333333333;72;507
2015-01-30 08:29:18;742.241379310345;73;596
2015-01-30 08:29:21;742.241379310345;74;546
2015-01-30 08:29:32;750.258064516129;71;596
2015-01-30 08:29:37;751.766666666667;71;527
2015-01-30 08:29:44;749.896551724138;71;2621
2015-01-30 08:29:55;818.428571428571;70;544
2015-01-30 08:29:59;819.392857142857;72;611
2015-01-30 08:30:14;807.233333333333;75;536
2015-01-30 08:30:19;774.032258064516;77;538
2015-01-30 08:30:22;775.633333333333;78;577
2015-01-30 08:30:56;757.272727272727;79;576
2015-01-30 08:31:04;757.272727272727;79;500
2015-01-30 08:31:12;747.147058823529;78;573
2015-01-30 08:31:17;749.787878787879;77;837
2015-01-30 08:31:19;751.5625;78;528
2015-01-30 08:31:24;751.5625;77;594
2015-01-30 08:31:42;743.114285714286;74;598
2015-01-30 08:31:44;743.114285714286;75;550
2015-01-30 08:31:52;743.114285714286;76;592
2015-01-30 08:31:58;737;77;541
2015-01-30 08:32:03;679.857142857143;77;539
2015-01-30 08:32:10;679.857142857143;76;600
2015-01-30 08:32:11;682.323529411765;75;2461
2015-01-30 08:32:26;677.277777777778;75;588
2015-01-30 08:32:48;683.028571428571;71;595
2015-01-30 08:32:56;682.971428571429;71;638
2015-01-30 08:33:03;680.882352941176;69;525
2015-01-30 08:33:08;676.314285714286;69;587
2015-01-30 08:33:18;671.447368421053;70;531
2015-01-30 08:33:25;672.684210526316;71;538
2015-01-30 08:33:30;672.684210526316;71;588
2015-01-30 08:33:59;657.425;66;513
2015-01-30 08:34:10;656.80487804878;65;567
2015-01-30 08:34:52;606;61;511
2015-01-30 08:34:54;606.317073170732;62;529
2015-01-30 08:35:05;602.707317073171;61;520
2015-01-30 08:35:09;601.15;61;517
2015-01-30 08:35:28;602.277777777778;57;514
2015-01-30 08:35:34;602.277777777778;58;491
2015-01-30 08:35:39;616.805555555556;60;514
