dateAndTime;boostedSvrPrediction
2015-03-13 00:01:08;411.919561
2015-03-13 00:06:06;413.433244
2015-03-13 00:07:04;413.433244
2015-03-13 00:14:12;411.688641
2015-03-13 00:18:14;415.344119
2015-03-13 00:23:25;412.055666
2015-03-13 00:32:13;411.640304
2015-03-13 00:32:18;411.794149
2015-03-13 00:32:22;412.137756
2015-03-13 00:32:26;412.327518
2015-03-13 00:34:33;416.131856
2015-03-13 00:34:36;416.418389
2015-03-13 00:34:57;416.716898
2015-03-13 00:42:08;414.824850
2015-03-13 00:42:10;415.715172
2015-03-13 00:42:31;415.955687
2015-03-13 00:44:27;416.208185
2015-03-13 00:57:29;443.227210
2015-03-13 00:58:43;444.571792
2015-03-13 01:12:42;414.461517
2015-03-13 01:16:53;414.664198
2015-03-13 01:17:31;414.878858
2015-03-13 01:17:37;415.105499
2015-03-13 01:20:14;415.594720
2015-03-13 01:34:36;414.461517
2015-03-13 02:04:06;414.878858
2015-03-13 02:11:24;414.461517
2015-03-13 02:11:55;414.664198
2015-03-13 02:12:08;414.878858
2015-03-13 02:14:01;415.105499
2015-03-13 02:14:06;415.344119
2015-03-13 02:14:10;415.594720
2015-03-13 02:14:28;415.594720
2015-03-13 02:16:27;410.803263
2015-03-13 02:53:22;414.461517
2015-03-13 03:25:17;415.105499
2015-03-13 03:38:46;414.461517
2015-03-13 03:53:32;414.664198
2015-03-13 04:04:04;414.461517
2015-03-13 04:05:50;414.664198
2015-03-13 04:06:08;414.878858
2015-03-13 04:09:59;414.770018
2015-03-13 04:11:13;411.745390
2015-03-13 04:11:37;411.919561
2015-03-13 04:16:33;412.534286
2015-03-13 04:20:00;414.933299
2015-03-13 04:22:42;412.322536
2015-03-13 04:23:09;412.684231
2015-03-13 04:23:26;412.883040
2015-03-13 04:25:36;410.449334
2015-03-13 04:26:30;408.174278
2015-03-13 04:27:22;409.387482
2015-03-13 04:33:02;410.674639
2015-03-13 04:35:41;410.426958
2015-03-13 04:37:57;410.569265
2015-03-13 04:40:26;410.569265
2015-03-13 04:40:30;410.723541
2015-03-13 04:42:24;414.894618
2015-03-13 04:51:00;482.097082
2015-03-13 04:56:54;407.721296
2015-03-13 04:59:18;407.816599
2015-03-13 04:59:25;407.923863
2015-03-13 05:00:50;406.741842
2015-03-13 05:00:57;406.861489
2015-03-13 05:01:01;406.993100
2015-03-13 05:02:26;407.136675
2015-03-13 05:04:19;407.328824
2015-03-13 05:06:57;409.764784
2015-03-13 05:07:02;409.933864
2015-03-13 05:08:39;411.343588
2015-03-13 05:11:21;410.452665
2015-03-13 05:13:04;411.423949
2015-03-13 05:16:54;412.146250
2015-03-13 05:17:35;411.483852
2015-03-13 05:18:50;412.327518
2015-03-13 05:18:53;412.529254
2015-03-13 05:22:34;414.378749
2015-03-13 05:23:57;412.631975
2015-03-13 05:25:14;412.631975
2015-03-13 05:25:15;412.821071
2015-03-13 05:25:17;413.022141
2015-03-13 05:25:21;413.235187
2015-03-13 05:25:24;413.460207
2015-03-13 05:27:35;446.267647
2015-03-13 05:28:38;460.837833
2015-03-13 05:28:53;462.692209
2015-03-13 05:30:13;450.293496
2015-03-13 05:31:01;434.377657
2015-03-13 05:32:49;415.335382
2015-03-13 05:35:06;416.840386
2015-03-13 05:35:56;415.779906
2015-03-13 05:36:13;415.779906
2015-03-13 05:37:50;415.876497
2015-03-13 05:38:25;412.542257
2015-03-13 05:39:43;412.655311
2015-03-13 05:39:48;412.896492
2015-03-13 05:40:22;412.896492
2015-03-13 05:42:31;416.554894
2015-03-13 05:42:40;415.397941
2015-03-13 05:42:43;415.696401
2015-03-13 05:42:46;416.006829
2015-03-13 05:44:35;414.676451
2015-03-13 05:44:38;414.964242
2015-03-13 05:45:08;414.964242
2015-03-13 05:46:25;412.939029
2015-03-13 05:47:34;413.277723
2015-03-13 05:48:00;412.412267
2015-03-13 05:48:52;413.185646
2015-03-13 05:49:25;413.286350
2015-03-13 05:50:10;412.863117
2015-03-13 05:51:04;413.526231
2015-03-13 05:51:11;413.820762
2015-03-13 05:51:19;413.820762
2015-03-13 05:51:22;414.127254
2015-03-13 05:51:25;414.127254
2015-03-13 05:51:27;414.127254
2015-03-13 05:52:18;413.986017
2015-03-13 05:52:31;414.971352
2015-03-13 05:53:26;413.872755
2015-03-13 05:53:47;413.872755
2015-03-13 05:54:08;413.895029
