"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-02-17 00:03:17;300;6;763
2015-02-17 00:03:56;300;5;1515
2015-02-17 00:10:10;341;1;266
2015-02-17 00:11:02;300;4;614
2015-02-17 00:11:05;300;5;276
2015-02-17 00:20:25;519.5;3;290
2015-02-17 00:24:50;614;4;249
2015-02-17 00:34:24;300;1;221
2015-02-17 00:34:54;300;4;299
2015-02-17 00:34:58;300;5;299
2015-02-17 00:35:08;300;8;287
2015-02-17 00:36:18;300;10;325
2015-02-17 00:36:32;300;11;320
2015-02-17 00:42:28;291.833333333333;6;267
2015-02-17 01:01:11;300;1;252
2015-02-17 01:33:45;300;4;257
2015-02-17 01:33:47;300;5;267
2015-02-17 01:34:20;300;9;281
2015-02-17 01:34:39;300;10;319
2015-02-17 01:36:45;300;12;337
2015-02-17 01:47:34;300;1;283
2015-02-17 01:49:52;300;2;290
2015-02-17 01:52:05;300;3;302
2015-02-17 02:09:59;300;2;296
2015-02-17 02:10:36;300;2;328
2015-02-17 02:22:35;300;2;292
2015-02-17 02:30:46;292;1;321
2015-02-17 02:31:03;292;2;335
2015-02-17 02:47:00;300;1;267
2015-02-17 02:47:18;300;2;290
2015-02-17 02:47:24;300;3;270
2015-02-17 02:47:49;300;4;282
2015-02-17 02:56:15;277.25;1;330
2015-02-17 03:20:07;300;1;257
2015-02-17 03:23:51;300;2;229
2015-02-17 03:23:54;300;3;245
2015-02-17 03:25:52;257;4;297
2015-02-17 03:25:55;257;5;272
2015-02-17 03:26:53;257;6;221
2015-02-17 03:28:39;243.666666666667;7;264
2015-02-17 03:44:25;300;1;256
2015-02-17 04:17:33;300;3;298
2015-02-17 04:17:37;300;4;296
2015-02-17 04:19:41;300;5;273
2015-02-17 04:26:23;289;1;271
2015-02-17 04:28:05;273;2;250
2015-02-17 04:31:45;271;3;314
2015-02-17 04:38:34;314;1;258
2015-02-17 04:41:05;314;2;345
2015-02-17 04:41:06;314;3;340
2015-02-17 04:47:46;314.333333333333;1;258
2015-02-17 04:47:55;342.5;3;264
2015-02-17 04:48:40;342.5;4;270
2015-02-17 04:48:42;342.5;5;269
2015-02-17 04:48:44;342.5;6;271
2015-02-17 04:55:44;266.4;2;422
2015-02-17 05:03:23;422;4;271
2015-02-17 05:03:35;422;5;287
2015-02-17 05:04:06;422;5;1263
2015-02-17 05:06:24;422;6;267
2015-02-17 05:08:23;279;6;275
2015-02-17 05:11:06;275;3;301
2015-02-17 05:12:29;275;4;251
2015-02-17 05:13:12;276.333333333333;5;283
2015-02-17 05:15:36;271;6;255
2015-02-17 05:16:36;288;6;266
2015-02-17 05:16:41;275.666666666667;7;275
2015-02-17 05:17:26;275.666666666667;8;898
2015-02-17 05:17:40;275.666666666667;8;280
2015-02-17 05:17:44;275.666666666667;9;268
2015-02-17 05:17:51;275.666666666667;10;257
2015-02-17 05:18:25;278.333333333333;10;274
2015-02-17 05:19:27;278.333333333333;12;278
2015-02-17 05:20:44;272.5;11;254
2015-02-17 05:22:09;267.2;10;293
2015-02-17 05:23:12;267.857142857143;6;484
2015-02-17 05:23:50;267.857142857143;5;267
2015-02-17 05:25:40;379.444444444444;5;276
2015-02-17 05:27:01;410.571428571429;4;300
2015-02-17 05:27:03;395.875;5;279
2015-02-17 05:27:37;472.4;5;252
2015-02-17 05:28:09;522;6;271
2015-02-17 05:28:26;471;7;289
2015-02-17 05:28:36;471;8;287
2015-02-17 05:31:21;330;8;286
2015-02-17 05:31:51;308.5;9;287
2015-02-17 05:32:19;309.666666666667;9;242
2015-02-17 05:32:45;378.375;9;229
2015-02-17 05:33:24;370.666666666667;9;278
2015-02-17 05:34:30;370.666666666667;7;285
2015-02-17 05:35:28;382.5;9;307
2015-02-17 05:35:34;382.5;10;303
2015-02-17 05:35:37;382.5;11;290
2015-02-17 05:36:55;343.222222222222;11;366
2015-02-17 05:36:58;343.222222222222;13;319
2015-02-17 05:37:59;270;11;279
2015-02-17 05:38:40;264.4;12;276
2015-02-17 05:38:43;264.4;13;275
2015-02-17 05:39:41;267.833333333333;11;1069
2015-02-17 05:40:22;267.833333333333;14;269
2015-02-17 05:40:34;271;14;277
2015-02-17 05:40:43;278.555555555556;12;272
2015-02-17 05:42:08;292.6;10;283
2015-02-17 05:42:15;292.6;11;273
2015-02-17 05:42:42;294.428571428571;12;285
2015-02-17 05:43:46;300;10;287
2015-02-17 05:43:53;300;11;306
2015-02-17 05:43:54;300;12;283
2015-02-17 05:44:28;301.875;13;242
2015-02-17 05:44:34;301.875;14;276
2015-02-17 05:45:06;298.222222222222;16;281
2015-02-17 05:46:34;291.625;13;286
2015-02-17 05:46:39;291.625;15;285
2015-02-17 05:46:42;291.625;16;277
