"foo","bagging","boosting","lasso","frbs"
0,0.122836387199215,0.0072447697326735,0.0927914526675377,0.014368045697734
0,0.0432131034306416,0.00670210260440557,0.0247294483301532,0.0127757749232933
0,0.00445988623681618,0.0108820439647417,0.00706251145999046,0.0060560286537967
0,0.210394873201983,0.00743402684031602,0.0428754833156541,0.0150563065119166
0,0.125018789256489,0.00828404183470949,0.0759944633311562,0.0191894718636255
0,0.0418834116762003,0.00660546496406227,0.0247545296291947,0.0122074152155038
0,0.0172147428878773,0.00573640861663873,0.00758587038338459,0.0104719948528277
0,0.0222528324225144,0.00609750241727861,0.00842294243749864,0.0119117013425705
0,0.0212140078568775,0.0123550589425886,0.0259718975037288,0.0799874609414533
0,0.0292804466810668,0.00598020993048544,0.031537578396188,0.0101323601729326
0,0.0717858844803107,0.00690397735650076,0.095405418968931,0.0133143969181642
0,0.0707168056657308,0.00694296848506066,0.107412748056868,0.0135617530753387
0,0.0593053245586653,0.00683858172711404,0.103022535688143,0.0132658917346501
0,0.0551393639313461,0.00678243560789546,0.0966640784799056,0.0131561647890905
0,0.0439761130017262,0.00658342639390574,0.0753179605824529,0.0125576444564503
0,0.0458430996937471,0.00666031694250425,0.0885340249932164,0.0129507493718408
0,0.0772773053015559,0.00918170968906709,0.0931268170075781,0.0314207939838425
0,0.00675947836869312,0.0383320616033029,0.00869392155317328,0.00970623855993957
0,0.0511214999682641,0.00696067645190209,0.0285859604413681,0.0143800873707098
0,0.0542335858929638,0.00946394350146868,0.0335932833412221,0.0320219296377094
0,0.0440047026955686,0.00926965689607133,0.0321318354297555,0.0300179234698867
0,0.0430645306744662,0.00916544087296645,0.031502252917963,0.0290922827224434
0,0.105829240966231,0.00824102567344034,0.0278023904064186,0.0215424108406266
0,0.305540043246007,0.00921985998038364,0.0315375391501017,0.029116897249361
0,0.0957968313381931,0.00879784503472237,0.0290781559130085,0.025385499919618
0,0.00302236136057633,0.00420646715468668,0.00358833557750676,0.00320912210375949
0,0.0404414482200064,0.00732807330582438,0.0270703346737826,0.0152997777038508
0,0.0350124837746791,0.00655032426135694,0.0189722801671247,0.012336053801489
0,0.00683653667165427,0.0289532114076927,0.00922449831059212,0.0094025879097356
0,0.0287959492960037,0.00682773209292923,0.0246693534290686,0.013220409329981
0,0.0642622253789455,0.00716003109114621,0.0265489666658801,0.0146483277837535
0,0.0411943798109376,0.00645665917810422,0.0187956486168877,0.0120556406188297
0,0.0465766182128224,0.00931200443549395,0.231480631649317,0.0259631459236835
0,0.0135887320791414,0.00537972903466874,0.0109610531447849,0.00881498771582
0,0.0885728122102491,0.007347922707348,0.026706564117858,0.0159371803661018
0,0.0153327429211198,0.00503654867238541,0.00850890641822563,0.00803299956340615
